template,count
[#6:1]>>O-C(=O)-[#6:1],489
[#6:1]>>C-C-O-C(=O)-[#6:1],161
[#6:1]-[#6:2]-[#8:3]>>C-C-O-C(=O)-[#6:1]-[#6:2]-[#8:3]-C-C,104
[#6:1]>>C-O-C(=O)-[#6:1],82
[#7:1]>>C-C(-C)(-C)-O-C(=O)-[#7:1],78
[#7:1]>>C-O-C(=O)-[#7:1],24
[#6:2]-[#6:1]>>O-[#6:1].O=C(-[#6:2])-[O-],23
[#7:1]>>C-C-O-C(=O)-[#7:1],22
[#6:1]-[#6:2]-[#6:3]-[#8:4]>>Br-[#6:1].C-C-O-C(=O)-[#6:2]-[#6:3]-[#8:4]-C-C,20
[#6:1]>>C-C-O-C(=O)-[#6:1]-C(=O)-O-C-C,19
[#6:2]-[#6:1]>>C-C-O-C(=O)-[#6:1].[#6:2],19
[#6:1]>>O=C(-[#6:1])-[O-],18
[#6:1]:[#6:2]>>O-C(=O)-[#6:1]:[#6:2]-C(-O)=O,17
[#6:1]>>C-C(-C)(-C)-O-C(=O)-[#6:1],17
[#6:1]=[#6:2]>>O-C(=O)-[#6:1].O=[#6:2],17
[#6:1]-[#6:2]-[#8:3]>>C-C1(-C)-O-C(=O)-[#6:1]-[#6:2]-[#8:3]-1,16
[#6:1]-[#6:2]>>O=C(-[#6:1])-O-[#6:2],16
[#6:2]-[#6:1]-[#7:3]>>C-C1(-C)-O-[#6:1]-[#6:2]-C(=O)-O-1.[#7:3],15
[#6:1]=[#8:2]>>O=C(-[#6:1])-[#8:2],14
[#6:1]=[#6:2]>>O-C(=O)-[#6:1]-[#6:2],14
[#6:2]-[#6:1]=[#8:3]>>O-C(=O)-[#6:1]1-[#6:2]-[#8:3]-1,13
[#6:2]=[#6:1]>>Br-[#6:1]-[#6:2]-C(-O)=O,13
[#8:10]-[#6:9]-[#6:8]-[#6:7]-[#6:6]=[#6:5]-[#6:4]-[#6:1]-[#6:2]-[#8:3]>>C-C-O-C(=O)-[#6:1](-[#6:2]-[#8:3]-C-C)-[#6:4]-[#6:5]=[#6:6]-[#6:7]-[#6:8](-[#6:9]-[#8:10]-C-C)-C(=O)-O-C-C,13
[#6:1]-[#7:2]>>O-[#6:1].[#7:2],12
[#7:1]>>O=C(-[#7:1])-O-C-C1-c2:c:c:c:c:c:2-c2:c:c:c:c:c:2-1,12
[#6:1]-[#6:2]-[#6:3]:[#6:4]-[#8:5]>>O=C1-[#6:1]-[#6:2]-[#6:3]:[#6:4]-[#8:5]-1,10
[#6:1]-[#6:2]>>C-C-O-C(=O)-[#6;-1:1]-C(=O)-O-C-C.Cl-[#6:2],10
[#7:1]-[#6:2]-[#6:3]-[#8:4]>>O=C1-[#7:1]-[#6:2]-[#6:3]-[#8:4]-1,9
[#6:1]>>O=C(-[#6:1])-O-C-c1:c:c:c:c:c:1,9
[#6:1]:[#7:2]:[#6:3]-[#6:4]-[#6:5]:[#7:6]:[#6:7]>>O-C(=O)-[#6:1]:[#7:2]:[#6:3]-[#6:4]-[#6:5]:[#7:6]:[#6:7]-C(-O)=O,9
[#8:4]=[#6:3]-[#6:2]-[#6:1]-[#8:5]>>C-C1(-C)-O-[#6:1]-[#6:2](=[#6:3]-[#8:4])-C(=O)-O-1.[#8:5],9
[#6:1]-[#6:2]-[#8:3]>>O-C(=O)-[#6:1].[#6:2]=[#8:3],8
[#6:1]>>N#C-[#6:1],8
[#6:1]:[#7:2]:[#6:3]-[#6:4]-[#6:5]:[#7:6]:[#6:7]>>C-C-O-C(=O)-[#6:1]:[#7:2]:[#6:3]-[#6:4]-[#6:5]:[#7:6]:[#6:7]-C(=O)-O-C-C,8
[#6:3]-[#6:2]=[#6:1]>>O-C(=O)-[#6:1]-[#6:2]=[#6:3],8
[#6:2]-[#6:1]>>O-C(=O)-[#6:1].[#6:2],8
[#7:1]>>O=C(-[#7:1])-O-C-c1:c:c:c:c:c:1,7
[#7:4]-[#6:3]:[#6:2]-[#6:1](=[#7:5])-[#8:6]>>O=[#6:1]1:[#6:2]:[#6:3]:[#7:4]:c(=O):o:1.[#7:5].[#8:6],7
