template,count
[C:2]-[CH2;D2;+0:1]-[C:3](=[O;D1;H0:4])-[O;D1;H1:5]>>O-C(=O)-[CH;D3;+0:1](-[C:2])-[C:3](=[O;D1;H0:4])-[O;D1;H1:5],48
[C:2]-[CH2;D2;+0:1]-[C:3](=[O;D1;H0:4])-[OH;D1;+0:5]>>C-C-O-C(=O)-[CH;D3;+0:1](-[C:2])-[C:3](=[O;D1;H0:4])-[O;H0;D2;+0:5]-C-C,43
[c:2]:[cH;D2;+0:1]:[c:3]>>O-C(=O)-[c;H0;D3;+0:1](:[c:2]):[c:3],32
[C:2]-[CH;D3;+0:1](-[C:3])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6]>>O-C(=O)-[C;H0;D4;+0:1](-[C:2])(-[C:3])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6],25
[#7:4]-[C:3](=[O;D1;H0:5])-[C:2]-[NH2;D1;+0:1]>>C-C(-C)(-C)-O-C(=O)-[NH;D2;+0:1]-[C:2]-[C:3](-[#7:4])=[O;D1;H0:5],21
[C:2]-[NH;D2;+0:1]-[C:3]>>C-C-O-C(=O)-[N;H0;D3;+0:1](-[C:2])-[C:3],20
[#8:6]-[C:5](=[O;D1;H0:7])-[CH2;D2;+0:4]-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].O=C(-[O-])-[CH2;D2;+0:4]-[C:5](-[#8:6])=[O;D1;H0:7],20
[CH;D2;+0:1]=[C:2]/[c:3]>>O-C(=O)/[CH;D2;+0:1]=[C:2]/[c:3],19
[Cl;D1;H0:2]-[CH;D3;+0:1](-[Cl;D1;H0:3])-[Cl;D1;H0:4]>>O-C(=O)-[C;H0;D4;+0:1](-[Cl;D1;H0:2])(-[Cl;D1;H0:3])-[Cl;D1;H0:4],18
[#8:4]-[C:5](=[O;D1;H0:6])-[CH;D3;+0:7](-[c:8])-[C;H0;D3;+0:1](-[#8:2])=[O;D1;H0:3]>>C-C-O-C(=O)-[C;H0;D3;+0:1](-[#8:2])=[O;D1;H0:3].[#8:4]-[C:5](=[O;D1;H0:6])-[CH2;D2;+0:7]-[c:8],17
[C:2]-[CH;D3;+0:1](-[C:3])-[C:4](=[O;D1;H0:5])-[OH;D1;+0:6]>>C-C-O-C(=O)-[C;H0;D4;+0:1](-[C:2])(-[C:3])-[C:4](=[O;D1;H0:5])-[O;H0;D2;+0:6]-C-C,17
