template,count
[#6:1]-[#6:2]-[#8:3]>>[#6:1].[#6:2]=[#8:3],2803
[#6:1]-[#6:2]-[#7:3]>>[#6:1].[#6:2]=[#7:3],731
[#6:1]=[#6:4]-[#6:3]-[#8:2]>>O=[#6:1].[#8:2].[#6:3]=[#6:4],76
[#6:2]-[#6:1]-[#7:3]>>O=[#6:1].[#6:2].[#7:3],66
[#6:1]-[#6:2]-[#6:3]>>[#6:1].[#6:2]=[#6:3],63
[#6:1]-[#6:2]>>C-C(-C)(-C)-O-C(=O)-O-[#6:1].[#6:2],60
[#6:2]-[#6:1]>>Br-[#6:1].[#6:2],60
[#6:1]-[#7:3]-[#7:2]>>[#6:1].[#7:2]=[#7:3],45
[#6:1]-[#6:2]1:[#6:3]:[#6:4]:[#6:5]:[#7:6]:1>>C-C(=O)-O-[#6:1]-[#6:2](=[#6:3])-[N+](=O)-[O-].[#6:4]=[#6:5]-[#7:6],38
[#6:1]-[#6:2]>>C-C(=O)-O-[#6:1].[#6:2],38
[#6:4]1=[#6:5]-[#8:6]-[#6:1]-[#6:2]-[#6:3]-1>>[#6:1]=[#6:2].[#6:3]=[#6:4]/[#6:5]=[#8:6],37
[#6:1]-[#6:2]>>[#6:1].[#6:2],34
[#6:1]-[#6:5]1-[#6:4]:[#6:3]-[#7:8]-[#6:7]-[#7:6]-1-[#6:2]>>C-C(-C)(-C)-O-C(=O)-O-[#6:1].[#6:2].[#6:3]1:[#6:4]:[#6:5]:[#7:6]:[#6:7]:[#7:8]:1,33
[#6:3]=[#6:2]/[#6:1]-[#6:4]-[#8:5]>>[#6:1]=[#6:2]/[#6:3].[#6:4]=[#8:5],33
[#6:1]-[#6:3]-[#6:4]-[#8:2]>>O-[#6:1].[#8:2].[#6:3]=[#6:4],33
[#6:2]-[#6:3]-[#6:1]>>O-C(=O)-[#6:1].[#6:2]=[#6:3],29
[#6:1]-[#6:2]=[#6:3]>>[#6:1].[#6:2]#[#6:3],27
[#6:2]-[#6:1]>>O=S(=O)(-[#6:1])-c1:c:c:c:c:c:1.[#6:2],26
[#6:2]1:[#6:3]:[#7:5]:[#6:4]:[#6:1]:1>>C-C(-C)(-C)-O-C(=O)-O-[#6:1]-[#6:2]=[#6:3].[#6:4]=[#7:5],26
[#6:1]=[#6:2]\[#6:3]-[#6:4]>>C-C(-C)(-C)-O-C(=O)-O-[#6:1]-[#6:2]=[#6:3].[#6:4],24
[#6:1]1-[#6:2]-[#6:3]-[#7:4]-1>>[#6:1]=[#6:2].[#6:3]=[#7:4],23
[#6:1]-[#6:3]-[#6:2]>>O=S(=O)(-[#6:1])-[O-].[#6:2]=[#6:3],23
[#6:3]1:[#6:2]:[#6:1]:[#6:4]:[#7:5]:1>>C-C(=O)-O-[#6:1](-[#6:2]=[#6:3])-[#6:4]=O.[#7:5],23
[#6:1]/[#6:2]=[#6:3]/[#6:4]-[#7:5]>>C-C-[Zn]-[#6:1].[#6:2]#[#6:3].[#6:4]=[#7:5],22
[#6:1]-[#6:2]>>O-[#6:1].[#6:2],22
[#6:4]1=[#6:5]-[#7:6]-[#6:3]-[#6:2]-[#6:1]-1>>C-C(-C)(-C)-O-C(=O)-O-[#6:1]-[#6:2]=[#6:3].[#6:4]-[#6:5]=[#7:6],22
[#6:4]-[#6:3]\[#6:2]=[#6:1]>>C-C(=O)-O-[#6:1]-[#6:2]=[#6:3].[#6:4],21
[#6:2]=[#6:3]-[#7:5]-[#6:1]-[#6:4]>>O=[#6:1].[#6:2]#[#6:3].[#6:4].[#7:5],21
[#6:4]1:[#6:5]:[#6:1]:[#6:2]:[#7:3]:1>>O=[#6:1]-[#6:2]:[#7:3].[#6:4]=[#6:5],21
[#6:4]-[#6:3]\[#6:2]=[#6:1]>>O-[#6:1]-[#6:2]=[#6:3].[#6:4],20
[#6:1]-[#7:2]>>C-C(-C)(-C)-O-C(=O)-O-[#6:1].[#7:2],19
[#6:4]1=[#6:3]-[#6:2]-[#6:1]-[#8:5]-1>>C-C(-C)(-C)-O-C(=O)-O-[#6:1].[#6:2]=[#6:3]-[#6:4]=[#8:5],19
[#6:2]-[#6:1]>>C-C-O-[#6:1].[#6:2],19
[#6:5]1:[#6:4]:[#6:3]:[#6:2]:[#6:1]:[#8:6]:1>>[#6:1]#[#6:2]-[#6:3]-[#6:4]:[#6:5]-[#8:6],19
[#16:2]-[#6:1]>>C-C(-C)(-C)-O-C(=O)-O-[#6:1].[#16:2],18
[#6:2]-[#6:3](-[#6:1])-[#8:4]>>[#6:1].[#6:2]-[#6:3]=[#8:4],18
[#6:1]-[#6:4]-[#6:3]-[#6:2]>>C-C(-C)(-C)-O-C(=O)-O-[#6:1].[#6:2].[#6:3]=[#6:4],18
[#6:2]-[#6:1]>>C-c1:c:c:c(-S(=O)(=O)-[#6:1]):c:c:1.[#6:2],17
[#6:1]-[#6:4]-[#7:3]-[#6:2]=[#8:5]>>[#6:1].[#6:2]#[#7:3].[#6:4]=[#8:5],17
[#6:1]-[#6:2]-[#6:3]-[#8:4]>>[#6:1].[#6:2]1-[#6:3]-[#8:4]-1,17
[#16:1]-[#6:3]-[#6:2]>>[#16:1].[#6:2]=[#6:3],17
[#6:3]=[#6:4]\[#6:5]-[#15:2]=[#8:1]>>C-C-[#8:1]-[#15:2].O-[#6:3]-[#6:4]=[#6:5],16
[#14:1]-[#8:4]-[#6:3]-[#6:2]>>[#14:1]-[#6:2].[#6:3]=[#8:4],15
[#6:1]-[#6:2]-[#8:3]>>Br-[#6:1].[#6:2]=[#8:3],15
[#6:3]-[#6:4](-[#6:1])=[#6:5]-[#6:2]>>C-C(-C)(-C)-O-C(=O)-O-[#6:1].[#6:2].[#6:3]#[#6:4]-[#6:5],15
[#6:1]-[#6:3]1(-[#8:2])-[#6:4]-[#6:5]:[#6:6]-[#6:7]-1>>[#6:1].[#8:2]=[#6:3]1:[#6:4]:[#6:5]:[#6:6]:[#6:7]:1,15
[#6:5]/[#6:4]=[#6:3](/[#6:2]=[#8:1])-[#6:6]-[#7:7]>>C-[Si](-C)(-C)-[#8:1]-[#6:2]=[#6:3]-[#6:4]=[#6:5].[#6:6]=[#7:7],15
[#6:3]-[#6:1]-[#8:2]>>O=[#6:1].[#8:2].[#6:3],15
[#6:1]=[#6:2]/[#6:3]-[#8:4]>>[#6:1]#[#6:2].[#6:3]=[#8:4],15
[#6:1]=[#6:2]\[#6:3]-[#7:4]>>C-C(-C)(-C)-O-C(=O)-O-[#6:1]-[#6:2]=[#6:3].[#7:4],14
[#6:1]-[#6:2]>>C-O-[#6:1].[#6:2],14
[#6:1]=[#6:2]\[#6:3]-[#8:4]>>C-C(=O)-O-[#6:1]-[#6:2]=[#6:3].[#8:4],13
[#6:2]1:[#6:10]:[#6:9]:[#6:8]:[#6:7]2:[#6:6]:[#7:5]:[#6:4]:[#6:3]:[#6:1]:1:2>>O=[#6:1](-[#6:2])-[#6:3]:[#6:4]-[#7:5]-[#6:6]-[#6:7]=[#6:8]-[#6:9]:[#6:10],13
[#6:1]1-[#6:3]-[#6:2]-[#8:5]-[#7:4]-1>>O=[#6:1].[#6:2]=[#6:3].[#7:4]-[#8:5],12
[#6:1]-[#8:2]>>C-C(-C)(-C)-O-C(=O)-O-[#6:1].[#8:2],12
[#6:1]-[#7:2]>>Br-[#6:1].[#7:2],12
[#6:3]-[#6:1]-[#6:2]>>O=[#6:1].[#6:2].[#6:3],12
[#6:2]-[#8:1]>>C-C(-C)(-C)-O-C(=O)-[#8:1].C-S(=O)(=O)-[#6:2],11
[#6:1]-[#6:2]-[#6:3]-[#6:4]-[#6:5]-[#8:6]>>C-[#6:1]-[#6:2]-[#6:3]-[#6:4].[#6:5]=[#8:6],11
[#6:5]1:[#6:4]:[#6:3]:[#6:2]:[#6:1]:[#6:6]:1>>O=[#6:1]-[#6:2]:[#6:3]-[#6:4]-[#6:5]=[#6:6],11
[#6:2]-[#6:3]-[#6:1]>>C-O-[#6:1].[#6:2]=[#6:3],10
[#6:1]-[#6:2]-[#6:3]-[#6:4]-[#7:5]>>[#6:1].[#6:2]=[#6:3].[#6:4]=[#7:5],10
[#6:2]\[#6:1]=[#6:3]\[#7:4]>>[#6:1]=[#6:2].[#6:3]=[#7:4],10
[#16:4]-[#6:3]\[#6:2]=[#6:1]>>C-C(=O)-O-[#6:1]-[#6:2]=[#6:3].[#16:4]-S-c1:c:c:c:c:c:1,10
[#6:2]-[#6:1]>>I-[#6:1].[#6:2],10
[#6:1]-[#6:2]/[#6:3]=[#6:4]>>Br-[#6:1].[#6:2]=[#6:3]/[#6:4],10
[#6:1]-[#7:2]>>C-C(=O)-O-[#6:1].[#7:2],9
[#6:1]-[#8:2]>>C-C(=O)-O-[#6:1].[#8:2],9
[#6:1]-[#7:3]-[#7:2]>>O=C-[#6:1].[#7:2]=[#7:3],9
[#6:1]/[#6:2]=[#6:3]\[#6:4]-[#7:5]>>Br-[#6:1]-[#6:2]=[#6:3].[#6:4]=[#7:5],9
[#6:2]-[#6:1]-[#6:3]-[#7:4]>>[#6:1]=[#6:2].[#6:3]=[#7:4],9
[#6:2]-[#6:1]>>Cl-[#6:1].[#6:2],9
[#6:5]=[#6:2](/[#6:3]-[#8:4])-[#6:1]=[#8:6]>>[#6:1]#[#6:2].[#6:3]=[#8:4].[#6:5]=[#8:6],9
[#8:10]-[#6:9]-[#6:1]-[#6:2]-[#8:3]-[#6:4]-[#6:5]-[#8:6]-[#6:7]-[#6:8]-[#6:11]-[#8:12]>>[#6:1]-[#6:2]-[#8:3]-[#6:4]-[#6:5]-[#8:6]-[#6:7]-[#6:8].[#6:9]=[#8:10].[#6:11]=[#8:12],8
[#6:1]-[#6:2]-[#6:3]-[#8:4]>>[#6:1]=[#6:2].[#6:3]=[#8:4],8
[#6:2]=[#6:6]-[#6:5]-[#6:4]-[#6:3]-[#6:1]>>O=C(-[#6:1])-[O-].[#6:2]-O-[#6:3]-[#6:4].[#6:5]=[#6:6]-[N+]12-C-C-N(-C-C-1)-C-C-2,8
[#6:1]=[#6:2]\[#6:3]-[#7:4]>>C-C(=O)-O-[#6:1]-[#6:2]=[#6:3].[#7:4],7
[#6:1]=[#6:2]-[#6:3]-[#8:4]>>C-C-O-C(=O)-[#6:1](=O)-[#6:2].[#6:3]=[#8:4],7
[#6:3]-[#6:2]-[#7:5]-[#6:4]-[#6:1]>>[#6:1].[#6:2]=[#6:3].[#6:4]=[#7:5],7
[#6:2]=[#7:4]-[#6:3]-[#6:1]>>C-C(-C)(-C)-O-C(=O)-O-[#6:1].O=[#6:2].[#6:3]-[#7:4],7
[#6:4]-[#6:3]-[#6:2]=[#6:1]>>Br-[#6:1]\[#6:2]=[#6:3].[#6:4],7
[#6:5]-[#6:4]-[#6:6]-[#6:7]-[#6:1]-[#6:2]=[#8:3]>>[#6:1]=[#6:2]-[#8:3]-C1-C-C-C-C-O-1.[#6:4]=[#6:5].[#6:6]=[#6:7],7
[#6:2]=[#6:3]\[#6:4]-[#8:1]>>C-C-O-C(-C)(-[#8:1])-O-C-C.O-[#6:2]-[#6:3]=[#6:4],7
[#6:6]-[#6:3]/[#6:2](=[#6:1])-[#6:4](-[#6:7])-[#8:5]>>C-C(=O)-O-[#6:1]-[#6:2](=[#6:3])-[#6:4]=[#8:5].[#6:6].[#6:7],6
