template,count
[#8:1]-[C:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](=[C;D1;H2:5])-[CH;D3;+0:7](-[OH;D1;+0:6])-[c:8]>>[#8:1]-[C:2](=[O;D1;H0:3])-[CH;D2;+0:4]=[C;D1;H2:5].[O;H0;D1;+0:6]=[CH;D2;+0:7]-[c:8],419
[#8:1]-[C:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](=[C;D1;H2:5])-[CH;D3;+0:7](-[C:6])-[OH;D1;+0:8]>>[#8:1]-[C:2](=[O;D1;H0:3])-[CH;D2;+0:4]=[C;D1;H2:5].[C:6]-[CH;D2;+0:7]=[O;H0;D1;+0:8],129
[C;D1;H2:1]=[C;H0;D3;+0:2](-[C:3]#[N;D1;H0:4])-[CH;D3;+0:6](-[OH;D1;+0:5])-[c:7]>>[C;D1;H2:1]=[CH;D2;+0:2]-[C:3]#[N;D1;H0:4].[O;H0;D1;+0:5]=[CH;D2;+0:6]-[c:7],93
[C:1]=[C;H0;D3;+0:2](-[C:3]=[O;D1;H0:4])-[CH;D3;+0:6](-[OH;D1;+0:5])-[c:7]>>[C:1]=[CH;D2;+0:2]-[C:3]=[O;D1;H0:4].[O;H0;D1;+0:5]=[CH;D2;+0:6]-[c:7],85
[#7;a:1]:[c:2]:[c:3]-[CH;D3;+0:4](-[OH;D1;+0:5])-[C;H0;D3;+0:9](=[C;D1;H2:10])-[C:7](-[#8:6])=[O;D1;H0:8]>>[#7;a:1]:[c:2]:[c:3]-[CH;D2;+0:4]=[O;H0;D1;+0:5].[#8:6]-[C:7](=[O;D1;H0:8])-[CH;D2;+0:9]=[C;D1;H2:10],81
[C;D1;H2:1]=[C;H0;D3;+0:2](-[C:3](-[C;D1;H3:4])=[O;D1;H0:5])-[CH;D3;+0:7](-[OH;D1;+0:6])-[c:8]>>[C;D1;H2:1]=[CH;D2;+0:2]-[C:3](-[C;D1;H3:4])=[O;D1;H0:5].[O;H0;D1;+0:6]=[CH;D2;+0:7]-[c:8],68
[C:3]=[C;H0;D3;+0:4](-[C:5]=[O;D1;H0:6])-[CH2;D2;+0:1]-[OH;D1;+0:2]>>[CH2;D1;+0:1]=[O;H0;D1;+0:2].[C:3]=[CH;D2;+0:4]-[C:5]=[O;D1;H0:6],51
[#8;a:1]:[c:2]:[c;H0;D3;+0:3](:[c:4])-[CH;D3;+0:6](-[OH;D1;+0:5])-[c:7]>>[#8;a:1]:[c:2]:[cH;D2;+0:3]:[c:4].[O;H0;D1;+0:5]=[CH;D2;+0:6]-[c:7],44
[#7;a:1]:[c:2]-[CH;D3;+0:3](-[OH;D1;+0:4])-[C;H0;D3;+0:8](=[C;D1;H2:9])-[C:6](-[#8:5])=[O;D1;H0:7]>>[#7;a:1]:[c:2]-[CH;D2;+0:3]=[O;H0;D1;+0:4].[#8:5]-[C:6](=[O;D1;H0:7])-[CH;D2;+0:8]=[C;D1;H2:9],40
[C;D1;H2:1]=[C;H0;D3;+0:2](-[C:3]=[O;D1;H0:4])-[CH;D3;+0:6](-[OH;D1;+0:5])-[c:7]>>[C;D1;H2:1]=[CH;D2;+0:2]-[C:3]=[O;D1;H0:4].[O;H0;D1;+0:5]=[CH;D2;+0:6]-[c:7],39
