template,count
[#6:1]-[#7:2]>>Br-[#6:1].[#7:2],7234
[#6:1]-[#7:2]>>Cl-[#6:1].[#7:2],5150
[#6:1]-[#7:2]>>I-[#6:1].[#7:2],1047
[#6:1]-[#7:2]>>F-C(-F)(-F)-S(=O)(=O)-O-[#6:1].[#7:2],522
[#6:1]-[#7:3]-[#6:2]>>Br-[#6:1].Br-[#6:2].[#7:3],140
[#6:1]1:[#6:2]:[#6:3]:[#6:4]:[#7:5]:1>>Br-[#6:1]:[#6:2]-[#6:3]:[#6:4]-Br.[#7:5],96
[#6:1]-[#7:2]>>C-S-[#6:1].[#7:2],83
[#6:1]-[#7:2]>>F-C(-F)(-F)-C(-F)(-F)-C(-F)(-F)-C(-F)(-F)-S(=O)(=O)-O-[#6:1].[#7:2],80
[#6:1]-[#8:2]>>Cl-[#6:1].[#8:2],73
[#6:1]-[#8:2]>>Br-[#6:1].[#8:2],65
[#6:1]-[#6:2]>>Br-[#6:1].[#6:2],62
[#6:1]-[#7:2]>>C-c1:c:c:c(-S(=O)(=O)-O-[#6:1]):c:c:1.[#7:2],54
[#6:1]1:[#6:2]:[#6:3]:[#6:4]:[#6:5]:[#7:6]:1>>Br-[#6:1]:[#6:2]-[#6:3]-[#6:4]:[#6:5]-Br.[#7:6],42
[#6:1]1:[#6:2]:[#6:3]:[#6:4]:[#7:5]:1>>Br-[#6:1]:[#6:2]-[#6:3]#[#6:4].[#7:5],37
[#6:1]-[#7:2]>>[#6:1]-O-c1:c:c:c:c:c:1.[#7:2],31
[#6:1]-[#6:2]-[#7:3]>>Br-[#6:1].[#6;H0:2].[#7:3],30
[#6:1]-[#7:2]>>C-S(=O)(=O)-O-[#6:1].[#7:2],28
[#7:5]-[#6:4]:[#6:3]:[#6:2]:[#6:1]-[#7:6]>>Br-[#6:1]:[#6:2]:[#6:3]:[#6:4]-[#7;+1:5](=O)-[O-].[#7:6],27
[#6:1]\[#6:2]=[#6:3]\[#7:4]>>I-[#6:1].[#6:2]#[#6:3].[#7:4],26
[#6:5]1:[#6:4]:[#6:3]:[#7:2]:[#6:1]:[#7:6]:1>>Br-[#6:1]:[#7:2].C-O-[#6:3]-[#6:4]:[#6:5]-[#7:6],26
[#6:1]-[#7:2]>>F-[#6:1].[#7:2],24
[#6:1]-[#7:2]:[#6:3]=[#8:4]>>F-C(-F)(-F)-C(-F)(-F)-C(-F)(-F)-C(-F)(-F)-S(=O)(=O)-O-[#6:1].[#7:2]:[#6:3]-[#8:4],23
[#6:1]-[#6:2]>>I-[#6:1].[#6:2],23
[#6:1]-[#8:2]>>I-[#6:1].[#8:2],22
[#16:2]-[#6:1]>>Br-[#6:1].[#16:2],22
[#6:1]:[#6:2]:[#6:3]-[#7:4]>>Br-[#6:1]:[#6:2]:[#6:3].[#7:4],22
[#6:1]-[#7:2]>>C-[N+](-C)(-C)-[#6:1].[#7:2],22
[#6:1]-[#7:2]>>N-[#6:1].[#7:2],21
[#6:5]1:[#6:4]:[#6:3]:[#6:2]:[#6:1]:[#7:6]:1>>Br-[#6:1]:[#6:2]-[#6:3]=O.[#6:4]-[#6:5]-[#7:6],20
[#7:4]-[#6:1]:[#6:2]-[#7:3]>>Br-[#6:1]:[#6:2]-Br.[#7:3].[#7:4],20
