template,count
[#6:1]-[#7:2]>>O-B(-O)-[#6:1].[#7:2],3671
[#6:1]-[#8:2]>>O-B(-O)-[#6:1].[#8:2],1155
[#6:1]-[#7:2]>>C-C1(-C)-O-B(-[#6:1])-O-C-1(-C)-C.[#7:2],292
[#16:2]-[#6:1]>>O-B(-O)-[#6:1].[#16:2],133
[#6:1]-[#8:2]>>F-[B-](-F)(-F)-[#6:1].[#8:2],82
[#6:1]-[#7:2]>>O-B(-O)-[#6:1].[#7:2]=[N+]=[N-],81
[#6:1]-[#8:2]>>C-C1(-C)-O-B(-[#6:1])-O-C-1(-C)-C.[#8:2],78
[#6:1]-[#16:2]-[#6:3]=[#7:4]>>O-B(-O)-[#6:1].[#16:2]=[#6:3]-[#7:4],66
[#6:1]-[#7:2]>>F-[B-](-F)(-F)-[#6:1].[#7:2],60
[#7:8]-[#6:7]:[#6:6]:[#6:5]-[#6:4]-[#6:3]-[#6:2]-[#8:1]>>C-C(-C)(-C)-[#8:1]-[#6:2]-[#6:3]-[#6:4]-[#6:5]:[#6:6]:[#6:7]-B1-O-C(-C)(-C)-C(-C)(-C)-O-1.[#7:8],39
[#6:1]-[#8:2]>>C=C-B1-O-B(-[#6:1])-O-B(-C=C)-O-1.[#8:2],33
[#6:1]-[#16:2]-[#6:3]1:[#7:4]:[#6:5]:[#6:6]:[#6:7]:[#7:8]:1>>O-B(-O)-[#6:1].[#16:2]-[#6:3]1=[#7:4]-[#6:5]-[#6:6]:[#6:7]-[#7:8]-1,31
[#6:1]-[#7:6]1:[#6:5]:[#6:4]:[#6:3]:[#6:2]:1>>O-B(-O)-[#6:1].[#6:2]#[#6:3]-[#6:4]:[#6:5]-[#7:6],26
[#6:1]-[#7:2]>>C-C1(-C)-C-O-B(-[#6:1])-O-C-1.O=C(-O-[#7:2])-c1:c:c:c:c:c:1,25
[#6:1]-[#7:2]>>C-c1:c:c:c(-B(-O)-[#6:1]):c:c:1.[#7:2],21
[#6:1]-[#7:2]>>[#6:1]-[B-](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1.[#7:2],19
[#16:1]-[#6:2]>>N-N-[#16:1](=O)=O.O-B(-O)-[#6:2],19
[#16:1]-[#6:2]>>C-N(-C)-C(=S)-[#16:1].O-B(-O)-[#6:2],19
[#6:1]-[#16:2]-[#6:3]=[#6:4]-[#6:5]=[#8:6]>>O-B(-O)-[#6:1].[#16:2]=[#6:3]-[#6:4]=[#6:5]-[#8:6],17
[#16:2]-[#6:1]>>O-B(-O)-[#6:1].[#16;-1:2],16
[#6:1]1:[#6:5]:[#6:4]:[#7:3]:[#6:2]:1>>C-C1(-C)-O-B(-[#6:1]:[#6:2]-[#7:3])-O-C-1(-C)-C.O=[#6:4]-[#6:5],16
[#6:2]-[#6:1]>>C-[Si](-C)(-C)-[#6:1].O-B(-O)-[#6:2],16
[#16:1]-[#6:2]>>C-O-C(=O)-C(-C-S-[#16:1])-N-C(-C)=O.O-B(-O)-[#6:2],12
[#6:2]1:[#6:1]:[#7:5]:[#6:4]:[#7:3]:1>>O-B(-O)-[#6:1]:[#6:2].[#7:3]-[#6:4]=[#7:5],12
[#6:2]-[#7:1]>>Br-[#7:1]-Br.O-B(-O)-[#6:2],11
[#16:2]-[#6:1]>>O-B(-O)-[#6:1].O=C1-N(-[#16:2])-C(=O)-c2:c:c:c:c:c:2-1,10
[#6:1]-[#7:2]>>Cl-c1:c:c:c(-C-C-B(-[#6:1])-C-C-c2:c:c:c(-Cl):c(-Cl):c:2):c:c:1-Cl.[#7:2],9
[#34:2]-[#6:1]>>O-B(-O)-[#6:1].[#34;-1:2],9
