template,count
[#6:3]1-[#6:4]=[#6:5]-[#6:6]-[#6:1]-[#6:2]-1>>[#6:1]=[#6:2].[#6:3]=[#6:4]-[#6:5]=[#6:6],2781
[#6:3]1-[#6:4]=[#6:5]-[#6:6]-[#6:1]=[#6:2]-1>>[#6:1]#[#6:2].[#6:3]=[#6:4]-[#6:5]=[#6:6],461
[#6:3]-[#6:2]-[#6:5]-[#6:4]-[#6:1]>>[#6:1].[#6:2]=[#6:3].[#6:4]=[#6:5],316
[#6:6]1-[#6:7]-[#6:1]2-[#6:2]=[#6:3]-[#6:4]-1-[#8:5]-2>>[#6:1]1:[#6:2]:[#6:3]:[#6:4]:[#8:5]:1.[#6:6]=[#6:7],260
[#6:1]1:[#6:6]-[#6:5]2-[#6:4]:[#6:3]-[#6:2]-1-[#6:7]-[#6:8]-2>>[#6:1]1:[#6:2]:[#6:3]:[#6:4]:[#6:5]:[#6:6]:1.[#6:7]=[#6:8],213
[#6:3]-[#6:2]1=[#6:4]-[#6:5]-[#6:7]-[#6:6]-[#6:1]-1>>[#6:1]-[#6:2](=[#6:3])-[#6:4]=[#6:5].[#6:6]=[#6:7],207
[#6:4]1=[#6:5]-[#8:6]-[#6:1]-[#6:2]-[#6:3]-1>>[#6:1]=[#6:2].[#6:3]=[#6:4]-[#6:5]=[#8:6],169
[#6:1]-[#6:2]1-[#6:3]=[#6:4]-[#6:5]-[#6:6]-[#6:7]-1>>[#6:1]-[#6:2]=[#6:3]-[#6:4]=[#6:5].[#6:6]=[#6:7],142
[#6:8]1=[#6:7]-[#6:6]-[#7:2]2:[#6:1]:[#7:5]:[#6:4]:[#7:3]:2-[#6:9]-1>>[#6:1]1-[#7:2]=[#7:3]-[#6:4]-[#7:5]-1.[#6:6]=[#6:7]-[#6:8]=[#6:9],132
[#6:1]-[#6:4]-[#6:5]-[#6:2]-[#7:3]>>[#6:1].[#6:2]=[#7:3].[#6:4]=[#6:5],129
[#6:1]-[#6:3]-[#6:4]-[#6:6]-[#6:5]-[#6:2]>>[#6:1]-[#6:2].[#6:3]=[#6:4].[#6:5]=[#6:6],126
[#6:1]1:[#6:2]:[#6:3]:[#6:4]:[#6:5]:[#6:6]:1>>[#6:1]#[#6:2].[#6:3]=[#6:4]-[#6:5]=[#6:6],90
[#6:4]1=[#6:5]-[#6:6]2-[#6:1]=[#6:2]-[#6:3]-1-[#8:7]-2>>[#6:1]#[#6:2].[#6:3]1:[#6:4]:[#6:5]:[#6:6]:[#8:7]:1,79
[#6:1]1-[#6:2]-[#6:3]-[#6:4]=[#6:5]-[#7:6]-1>>[#6:1]=[#6:2].[#6:3]=[#6:4]-[#6:5]=[#7:6],79
[#6:4]-[#6:3]-[#6:2]-[#6:1]-[#7:5]>>O=[#6:1].[#6:2]=[#6:3].[#6:4].[#7:5],77
[#6:4]1:[#6:3]:[#6:1]:[#6:2]:[#6:6]:[#6:5]:1>>[#6:1]=[#6:2].[#6:3]=[#6:4]-[#6:5]=[#6:6],75
[#6:3]1:[#6:1]:[#6:2]:[#6:6]:[#6:5]:[#6:4]:1>>[#6:1]#[#6:2].[#6:3]:[#6:4]-[#6:5]=[#6:6],64
[#6:3]-[#6:2]1-[#6:1]-[#8:7]-[#6:6]=[#6:5]-[#6:4]-1>>[#6:1]-[#6:2]=[#6:3].[#6:4]=[#6:5]-[#6:6]=[#8:7],63
[#8:3]-[#6:6]1-[#6:7]2-[#6:8]=[#6:9]-[#6:10](-[#6:2]-[#6:1]-2)-[#6:5]-1=[#8:4]>>[#6:1]=[#6:2].[#8:3].[#8:4]-[#6:5]1:[#6:6]:[#6:7]:[#6:8]:[#6:9]:[#6:10]:1,61
[#6:3]-[#6:1]:[#6:4]:[#6:2]>>O=[#6:1]:o:[#6:2].[#6:3]-C#[#6:4],60
[#6:3]:[#6:1]:[#6:2]:[#6:4]>>[#6:1]#[#6:2].[#6:3]:n:n:[#6:4],59
[#6:1]1-[#6:2]=[#6:3]-[#6:4]-[#7:5]-[#8:6]-1>>[#6:1]=[#6:2]-[#6:3]=[#6:4].[#7:5]=[#8:6],59
[#6:1]1-[#6:5]-[#8:6]-[#6:4]-[#6:3]=[#6:2]-1>>[#6:1]=[#6:2]-[#6:3]=[#6:4].[#6:5]=[#8:6],55
