template,count
[#6:2]1:[#6:3]:[#6:5]:[#6:4]:[#7:1]:1>>N-[#7:1]-[#6:2]:[#6:3].O=[#6:4]-[#6:5],2616
[#6:1]1:[#6:2]:[#7:3]:[#6:4]:[#6:5]:1>>[#6:1]-[#6:2]=[#7:3]-N-[#6:4]:[#6:5],1164
[#6:2]-[#6:4]-[#6:3]=[#7:1]>>N-[#7:1].[#6:2].O=[#6:3]-[#6:4],312
[#8:1]-[#6:2]-[#6:3]1:[#6:4]:[#6:7]:[#6:6]:[#7:5]:1>>C-C-[#8:1]-[#6:2]-[#6:3](-[#6:4])=N-[#7:5]-[#6:6]:[#6:7],63
[#6:4]-[#6:3]:[#6:2]-[#7:1]>>N-[#7:1]-[#6:2]:[#6:3].[#6:4],42
[#6:7]-[#6:4]1:[#7:1]:[#6:2]:[#6:3]:[#6:6]:1-[#6:5]>>N-[#7:1]-[#6:2]:[#6:3].O=[#6:4](-[#6:5])-[#6:6]-[#6:7],32
[#6:3]:[#6:4]1:[#6:7]:[#6:6]:[#7:1]:[#6:2]:1:[#6:5]>>N-[#7:1]-[#6:2](:[#6:3]):[#6:4]:[#6:5].O=[#6:6]-[#6:7],30
[#16:6]1:[#6:7]:[#6:8]:[#6:4]2:[#7:1]:[#6:2]:[#6:3]:[#6:5]:1:2>>N-[#7:1]-[#6:2]:[#6:3].O=[#6:4]1-[#6:5]-[#16:6]-[#6:7]:[#6:8]-1,27
[#8:8]-[#6:4]-[#6:5]-[#6:6]1:[#6:3]:[#6:2]:[#7:1]:[#6:7]:1>>N-[#7:1]-[#6:2]:[#6:3].[#6:4]1-[#6:5]-[#6:6]=[#6:7]-[#8:8]-1,27
[#7:8]-[#6:4]-[#6:3]-[#6:2]1:[#6:5]:[#6:6]:[#7:7]:[#6:1]:1>>C-O-[#6:1](-O-C)-[#6:2]-[#6:3]-[#6:4]-Cl.[#6:5]:[#6:6]-[#7:7]-[#7:8],23
[#16:6]1:[#6:7]:[#6:8]:[#6:4]2:[#7:1]:[#6:2]:[#6:3]:[#6:5]:1:2>>N-[#7:1]-[#6:2]:[#6:3].O=[#6:4]1-[#6:5]-[#16:6]-[#6:7]=[#6:8]-1,23
