template,count
[C:8]-[c;H0;D3;+0:7]1:[c;H0;D3;+0:5](-[C:6]):[nH;D2;+0:1]:[c:2]:[c;H0;D3;+0:3]:1:[c:4]>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5](-[C:6])-[CH2;D2;+0:7]-[C:8],136
[C:6]-[c;H0;D3;+0:5]1:[nH;D2;+0:1]:[c:2]:[c;H0;D3;+0:3](:[c:4]):[c;H0;D3;+0:7]:1-[C:8]>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5](-[C:6])-[CH2;D2;+0:7]-[C:8],136
[C:7]-[c;H0;D3;+0:6]1:[cH;D2;+0:5]:[nH;D2;+0:1]:[c:2]:[c;H0;D3;+0:3]:1:[c:4]>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[CH;D2;+0:5]-[CH2;D2;+0:6]-[C:7],110
[#8:7]-[C:6]-[c;H0;D3;+0:5]1:[nH;D2;+0:1]:[c:2]:[c;H0;D3;+0:3](:[c:4]):[c;H0;D3;+0:8]:1-[C:9]>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5](-[C:6]-[#8:7])-[CH2;D2;+0:8]-[C:9],102
[C:8]-[c;H0;D3;+0:7]1:[c;H0;D3;+0:3](:[c:4]):[c:2]:[nH;D2;+0:1]:[c;H0;D3;+0:5]:1-[C:6]>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5](-[C:6])-[CH2;D2;+0:7]-[C:8],95
[C;D1;H3:7]-[c;H0;D3;+0:6]1:[c;H0;D3;+0:3](:[c:4]):[c:2]:[nH;D2;+0:1]:[c;H0;D3;+0:5]:1-[c;H0;D3;+0:8](:[c:9]):[c:10]>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5](-[CH2;D2;+0:6]-[C;D1;H3:7])-[c;H0;D3;+0:8](:[c:9]):[c:10],74
[C:7]-[c;H0;D3;+0:6]1:[c;H0;D3;+0:3](:[c:4]):[c:2]:[nH;D2;+0:1]:[c;H0;D3;+0:5]:1-[c;H0;D3;+0:8](:[c:9]):[c:10]>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5](-[CH2;D2;+0:6]-[C:7])-[c;H0;D3;+0:8](:[c:9]):[c:10],71
[c:4]:[c;H0;D3;+0:3]1:[c:2]:[nH;D2;+0:1]:[c;H0;D3;+0:5](-[c;H0;D3;+0:7](:[c:8]):[c:9]):[cH;D2;+0:6]:1>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5](-[CH3;D1;+0:6])-[c;H0;D3;+0:7](:[c:8]):[c:9],71
[C:7]-[C;H0;D4;+0:6]1(-[C:8])-[CH;D2;+0:5]=[N;H0;D2;+0:1]-[c:2]:[c;H0;D3;+0:3]-1:[c:4]>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[CH;D2;+0:5]-[CH;D3;+0:6](-[C:7])-[C:8],67
[c:8]:[c;H0;D3;+0:7](:[c:9])-[c;H0;D3;+0:5]1:[cH;D2;+0:6]:[c;H0;D3;+0:3](:[c:4]):[c:2]:[nH;D2;+0:1]:1>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5](-[CH3;D1;+0:6])-[c;H0;D3;+0:7](:[c:8]):[c:9],67
[C;D1;H3:8]-[C;H0;D4;+0:7]1(-[C;D1;H3:9])-[C;H0;D3;+0:5](-[C;D1;H3:6])=[N;H0;D2;+0:1]-[c:2]:[c;H0;D3;+0:3]-1:[c:4]>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5](-[C;D1;H3:6])-[CH;D3;+0:7](-[C;D1;H3:8])-[C;D1;H3:9],62
[c:4]:[c;H0;D3;+0:3]1:[c:2]:[nH;D2;+0:1]:[c;H0;D3;+0:5]2:[c;H0;D3;+0:6]:1-[C:7]-[c:8]:[c;H0;D3;+0:9]-2:[c:10]>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5]1-[CH2;D2;+0:6]-[C:7]-[c:8]:[c;H0;D3;+0:9]-1:[c:10],59
[c:4]:[c;H0;D3;+0:3]:[c:2]:[nH;D2;+0:1]>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4],54
[C:8]-[c;H0;D3;+0:7]1:[c;H0;D3;+0:3](:[c:4]):[c:2]:[nH;D2;+0:1]:[c;H0;D3;+0:5]:1-[C;D1;H3:6]>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5](-[C;D1;H3:6])-[CH2;D2;+0:7]-[C:8],54
[c:7]:[c;H0;D3;+0:6]1:[cH;D2;+0:1]:[c;H0;D3;+0:2](-[c;H0;D3;+0:8](:[c:9]):[c:10]):[nH;D2;+0:3]:[c;H0;D3;+0:4]:1:[c:5]>>[CH3;D1;+0:1]-[C;H0;D3;+0:2](=[N;H0;D2;+0:3]-N-[c;H0;D3;+0:4](:[c:5]):[cH;D2;+0:6]:[c:7])-[c;H0;D3;+0:8](:[c:9]):[c:10],42
[C;D1;H3:8]-[c;H0;D3;+0:7]1:[c;H0;D3;+0:9](-[C:10]-[C:11](=[O;D1;H0:12])-[O;D1;H1:13]):[c;H0;D3;+0:5](:[c:6]):[c:4]:[n;H0;D3;+0:1]:1-[C:2]=[O;D1;H0:3]>>N-[N;H0;D3;+0:1](-[C:2]=[O;D1;H0:3])-[c:4]:[cH;D2;+0:5]:[c:6].O=[C;H0;D3;+0:7](-[C;D1;H3:8])-[CH2;D2;+0:9]-[C:10]-[C:11](=[O;D1;H0:12])-[O;D1;H1:13],42
[#7:9]-[C:8]-[c;H0;D3;+0:7]1:[c;H0;D3;+0:3](:[c:4]):[c:2]:[nH;D2;+0:1]:[c;H0;D3;+0:5]:1-[C:6]>>N-[NH;D2;+0:1]-[c:2]:[cH;D2;+0:3]:[c:4].O=[C;H0;D3;+0:5](-[C:6])-[CH2;D2;+0:7]-[C:8]-[#7:9],42
