template,count
[#6:2]-[#6:1]>>Cl-[#6:1].[#6:2],3729
[#6:2]-[#6:1]>>O-[#6:1].[#6:2],848
[#6:1]-[#6:2]>>C-C(=O)-O-[#6:1].[#6:2],182
[#6:1]-[#7:2]>>Cl-[#6:1].[#7:2],167
[#6:1]-[#6:5]-[#6:4]-[#6:3]-[#6:2]-[#8:6]>>[#6:1].[#6:2]1-[#6:3]-[#6:4]-[#6:5]-[#8:6]-1,148
[#6:1]-[#6:2]=[#7:3]>>[#6:1].[#6:2]#[#7:3],136
[#6:3]-[#6:1]=[#8:2]>>O=[#6:1]-[#8:2].[#6:3],118
[#6:4]-[#6:3]:[#6:2]-[#8:1]>>C-[#8:1]-[#6:2]:[#6:3].Cl-[#6:4],86
[#6:1]-[#6:2]-[#6:3]:[#6:4]-[#6:5]-[#8:6]>>[#6:1].[#6:2]1-[#6:3]:[#6:4]-[#6:5]-[#8:6]-1,81
[#6:2]-[#6:1]>>C-[Si](-C)(-C)-[#6:1].Cl-[#6:2],79
[#6:2]-[#6:1]>>C-O-[#6:1].[#6:2],76
[#6:2]-[#6:1]>>Br-[#6:1].[#6:2],75
[#6:1]-[#6:5]/[#6:4]=[#6:3]/[#6:2]-[#8:6]>>[#6:1].[#6:2]1-[#6:3]=[#6:4]-[#6:5]-[#8:6]-1,65
[#6:2]-[#6:1]-[#7:3]>>O=[#6:1].[#6:2].[#7:3],61
[#17:1]-[#6:4]=[#6:3]-[#6:2]>>[#17:1]-[#6:2].[#6:3]#[#6:4],55
[#6:2]-[#6:1]-[#6:3]>>C-C1(-C)-O-[#6:1]-[#6:2]-C(=O)-O-1.[#6:3],50
[#6:1]-[#6:2]>>[#6:1].[#6:2]-N1-C-C-C-C-1,43
[#6:1]-[#6:2]-[#7:3]>>[#6:1].[#6:2]=[#7:3],41
[#6:1]-[#6:2]>>C-C-C(=O)-O-[#6:1].[#6:2],39
[#6:1]-[#6:2]-[#8:3]>>[#6:1].[#6:2]=[#8:3],36
[#6:2]-[#6:1]>>C-C(-C)(-C)-O-[#6:1].[#6:2],36
[#6:1]-[#6:5]1:[#6:4]:[#6:3](-[#8:2]):[#6:9]:[#6:8]:[#6:6]:1-[#8:7]>>[#6:1].[#8:2]=[#6:3]1-[#6:4]=[#6:5]-[#6:6](=[#8:7])-[#6:8]:[#6:9]-1,36
[#16:1]-[#6:2]>>Cl-[#16:1].[#6:2],34
[#6:2]=[#6:1]-[#6:3]>>O=[#6:1]-[#6:2].[#6:3],34
[#6:2]-[#6:1]>>F-C(-F)(-F)-S(=O)(=O)-O-[#6:1].[#6:2],34
[#6:1]-[#6:2]>>[#6:1].[#6:2]-O-c1:c:c:c:c:c:1,33
[#6:1]-[#6:6]-[#6:5]-[#6:4]-[#6:3]-[#6:2]-[#8:7]>>[#6:1].[#6:2]1-[#6:3]-[#6:4]-[#6:5]-[#6:6]-[#8:7]-1,33
[#6:1]-[#8:2]>>Cl-[#6:1].[#8:2],30
[#6:2]-[#6:1]>>[#6:1].[#6:2]-n1:n:n:c2:c:c:c:c:c:2:1,29
[#6:1]-[#6:2]>>C-C-O-[#6:1].[#6:2],28
