template,count
[#6:1]-[#6:2]-[#6:3]>>[#6:1].[#6:2]=[#6:3],2706
[#6:2]-[#6:1]>>O-[#6:1].[#6:2],2028
[#6:1]-[#6:2]-[#7:3]>>[#6:1].[#6:2]=[#7:3],873
[#6:1]-[#6:2]-[#8:3]>>[#6:1].[#6:2]=[#8:3],753
[#6:2]-[#6:1]-[#6:3]>>O=[#6:1].[#6:2].[#6:3],491
[#6:2]-[#6:1]>>Cl-[#6:1].[#6:2],312
[#6:2]-[#6:1]>>Br-[#6:1].[#6:2],245
[#6:1]-[#6:2]-[#6:3]-[#8:4]>>[#6:1].[#6:2]1-[#6:3]-[#8:4]-1,213
[#6:1]-[#6:2]>>C-C(=O)-O-[#6:1].[#6:2],131
[#6:4]-[#6:3]-[#6:2]=[#6:1]>>O-[#6:1]-[#6:2]=[#6:3].[#6:4],124
[#6:1]-[#6:4]-[#6:3]-[#6:2]>>[#6:1].[#6:2]1-[#6:3]-[#6:4]-1,82
[#6:2]-[#6:1]>>O=[#6:1].[#6:2],80
[#6:2]-[#6:1]>>[#6:1].[#6:2],80
[#6:2]-[#6:1]-[#7:3]>>O=[#6:1].[#6:2].[#7:3],67
[#6:2]-[#6:1]>>F-[#6:1].[#6:2],66
[#6:2]-[#6:1]>>C-C(-C)(-C)-O-C(=O)-O-[#6:1].[#6:2],50
[#6:1]=[#6:2]-[#6:3]-[#6:4]>>C-O-C(=O)-O-[#6:1]/[#6:2]=[#6:3].[#6:4],49
[#6:2]-[#6:1]>>O=S(=O)(-[#6:1])-c1:c:c:c:c:c:1.[#6:2],48
[#6:2]-[#6:1]>>C-C-O-P(=O)(-O-[#6:1])-O-C-C.[#6:2],45
[#6:2]-[#6:1]>>F-[#6:1](-F)-F.[#6:2],45
[#6:2]-[#6:1]>>C-c1:c:c:c(-S(=O)(=O)-[#6:1]):c:c:1.[#6:2],43
[#6:5]-[#6:3]-[#6:2]-[#6:1](-[#8:4])-[#8:6]>>O=[#6:1]/[#6:2]=[#6:3].[#8:4].[#6:5].[#8:6],41
[#6:2]-[#6:1]>>C-[Si](-C)(-C)-O-[#6:1].[#6:2],39
[#6:1]-[#6:2]-[#6:3]1:[#6:4]:[#6:5]:[#6:6](-[#8:7]):[#6:8]:[#6:9]:1>>[#6:1].[#6:2]=[#6:3]1-[#6:4]=[#6:5]-[#6:6](=[#8:7])-[#6:8]=[#6:9]-1,38
[#6:1]-[#6:2]>>C-C(-C)(-C)-O-C(=O)-N-[#6:1].[#6:2],38
[#6:2]-[#6:1]>>I-[#6:1].[#6:2],38
[#6:2]-[#6:1]-[#6:3]>>O-[#6:1]-[#6:2].[#6:3],38
[#6:2]=[#6:3]-[#6:1]>>[#6:1].[#6:2]#[#6:3],38
[#6:4]-[#6:3]-[#6:2]-[#6:1]-[#8:5]>>O-[#6:1]/[#6:2]=[#6:3].[#6:4].[#8:5],37
[#6:1]-[#6:2]-[#6:3]-[#6:4]-[#8:5]>>[#6:1].[#6:2]=[#6:3]-[#6:4]=[#8:5],36
[#6:2]-[#6:1]>>C-O-[#6:1].[#6:2],35
[#6:1]-[#6:2]-[#6:3]=[#6:4]-[#8:5]>>[#6:1].[#6:2]=[#6:3]/[#6:4]=[#8:5],34
[#6:2]-[#6:1]>>C-C(=O)-N(-C)-O-[#6:1].[#6:2],33
[#6:3]-[#6:2]-[#8:1]>>C-C1(-C)-C-C-C-C(-C)(-C)-N-1-[#8:1]-[#6:2].[#6:3],32
[#6:1]-[#6:2]>>N-[C@H](-C-C-[S+](-[#6:1])-C-[C@H]1-O-[C@H](-n2:c:n:c3:c(-N):n:c:n:c:3:2)-[C@@H](-O)-[C@@H]-1-O)-C(-O)=O.[#6:2],32
[#6:2]-[#6:1]>>C-C-O-[#6:1].[#6:2],29
[#6:1]-[#6:3]-[#6:4]-[#6:5](-[#8:2])-[#8:6]>>[#6:1].[#8:2].[#6:3]=[#6:4]-[#6:5]=[#8:6],29
[#6:2]1:[#6:1]:[#6:3]:[#6:4]:[#8:5]:1>>Cl-[#6:1]-[#6:2]=O.[#6:3]:[#6:4]-[#8:5],29
