template,count
[c:3]:[c;H0;D3;+0:4](:[c:5])-[CH2;D2;+0:1]-[c:2]>>O-[CH2;D2;+0:1]-[c:2].[c:3]:[cH;D2;+0:4]:[c:5],94
[#7;+:1]-[CH2;D2;+0:2]-[CH;D3;+0:3](-[c:4])-[c;H0;D3;+0:6](:[c:5]):[c:7]>>[#7;+:1]-[CH;D2;+0:2]=[CH;D2;+0:3]-[c:4].[c:5]:[cH;D2;+0:6]:[c:7],82
[#7:6]-[C:7](=[O;D1;H0:8])-[C;H0;D4;+0:9](-[OH;D1;+0:10])(-[c:11])-[c;H0;D3;+0:3]1:[c:2]:[#7;a:1]:[c:5]:[c:4]:1>>[#7;a:1]1:[c:2]:[cH;D2;+0:3]:[c:4]:[c:5]:1.[#7:6]-[C:7](=[O;D1;H0:8])-[C;H0;D3;+0:9](=[O;H0;D1;+0:10])-[c:11],72
[#16:1]-[NH;D2;+0:2]-[C@H;D3;+0:3](-[c:4])-[c;H0;D3;+0:7]1:[c:6]:[#7;a:5]:[c:9]:[c:8]:1>>[#16:1]-[N;H0;D2;+0:2]=[CH;D2;+0:3]-[c:4].[#7;a:5]1:[c:6]:[cH;D2;+0:7]:[c:8]:[c:9]:1,71
[c:8]:[c;H0;D3;+0:9](:[c:10])-[CH;D3;+0:1](-[c:2])-[c;H0;D3;+0:5]1:[c:4]:[#7;a:3]:[c:7]:[c:6]:1>>O=[CH;D2;+0:1]-[c:2].[#7;a:3]1:[c:4]:[cH;D2;+0:5]:[c:6]:[c:7]:1.[c:8]:[cH;D2;+0:9]:[c:10],69
[#7;+:1]-[CH2;D2;+0:2]-[CH;D3;+0:3](-[c:4])-[c;H0;D3;+0:7]1:[c:6]:[#7;a:5]:[c:9]:[c:8]:1>>[#7;+:1]-[CH;D2;+0:2]=[CH;D2;+0:3]-[c:4].[#7;a:5]1:[c:6]:[cH;D2;+0:7]:[c:8]:[c:9]:1,68
[c:2]-[CH;D3;+0:1](-[c:3])-[c;H0;D3;+0:5](:[c:4]):[c:6]>>O-[CH;D3;+0:1](-[c:2])-[c:3].[c:4]:[cH;D2;+0:5]:[c:6],63
[C:2]-[CH;D3;+0:1](-[c:3])-[c;H0;D3;+0:5](:[c:4]):[c:6]>>O-[CH;D3;+0:1](-[C:2])-[c:3].[c:4]:[cH;D2;+0:5]:[c:6],62
[O;D1;H0:6]=[C:7]-[CH2;D2;+0:8]-[C@@H;D3;+0:9](-[c:10])-[c;H0;D3;+0:3]1:[c:2]:[#7;a:1]:[c:5]:[c:4]:1>>[#7;a:1]1:[c:2]:[cH;D2;+0:3]:[c:4]:[c:5]:1.[O;D1;H0:6]=[C:7]-[CH;D2;+0:8]=[CH;D2;+0:9]-[c:10],61
[#16:1]-[NH;D2;+0:2]-[CH;D3;+0:3](-[c:4])-[c;H0;D3;+0:7]1:[c:6]:[#7;a:5]:[c:9]:[c:8]:1>>[#16:1]-[N;H0;D2;+0:2]=[CH;D2;+0:3]-[c:4].[#7;a:5]1:[c:6]:[cH;D2;+0:7]:[c:8]:[c:9]:1,57
[c:4]:[c;H0;D3;+0:5](:[c:6])-[CH;D3;+0:1](-[c:2])-[c:3]>>O-[CH;D3;+0:1](-[c:2])-[c:3].[c:4]:[cH;D2;+0:5]:[c:6],54
[CH3;D1;+0:1]-[CH;D3;+0:2](-[c:3])-[c;H0;D3;+0:5](:[c:4]):[c:6]>>[CH2;D1;+0:1]=[CH;D2;+0:2]-[c:3].[c:4]:[cH;D2;+0:5]:[c:6],53
[O;D1;H0:1]=[C:2]-[CH;D3;+0:3](-[c:4])-[c;H0;D3;+0:6](:[c:5]):[c:7]>>[O;D1;H0:1]=[C:2]-[CH2;D2;+0:3]-[c:4].[c:5]:[cH;D2;+0:6]:[c:7],50
