template,count
[#6:1]-[#6:2]-[#8:3]>>Br-[Mg]-[#6:1].[#6:2]=[#8:3],2768
[#6:1]-[#6:2]-[#8:3]>>Br-[#6:1].[#6:2]=[#8:3],1264
[#6:1]-[#6:2]-[#8:3]>>Cl-[Mg]-[#6:1].[#6:2]=[#8:3],366
[#6:1]-[#6:2]>>Br-[Mg]-[#6:1].C-O-N(-C)-[#6:2],241
[#6:1]-[#6:2]-[#8:3]>>I-[Mg]-[#6:1].[#6:2]=[#8:3],227
[#6:1]-[#6:2]-[#8:3]>>I-[#6:1].[#6:2]=[#8:3],223
[#6:1]-[#6:2]-[#8:3]>>Cl-[#6:1].[#6:2]=[#8:3],213
[#6:1]-[#6:2]-[#7:3]>>Br-[Mg]-[#6:1].[#6:2]=[#7:3],116
[#6:1]-[#6:2]-[#8:3]>>[#6:1].[#6:2]=[#8:3],113
[#6:1]-[#6:2]-[#8:3]>>[#6:1]-[Mg+].[#6:2]=[#8:3],110
[#6:1]-[#6:2]>>Br-[#6:1].Br-[#6:2],95
[#6:2]-[#6:1]>>Br-[#6:1].C-O-N(-C)-[#6:2],74
[#6:1]-[#6:2]-[#6:3]-[#6:4]-[#6:5]-[#6:6]\[#6:7]=[#6:8]>>Br-[#6:1].O-C-C-C-C-C-C-C-C-C-O-c1:c:c:c(-S(=O)(=O)-O-[#6:2]-[#6:3]-[#6:4]-[#6:5]-[#6:6]-[#6:7]=O):c:c:1.O=P(-[#6:8])(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,72
[#6:1]-[#6:2]>>Br-[#6:1].Cl-[#6:2],70
[#6:2]-[#6:1]>>Br-[#6:1].Br-[Mg]-[#6:2],66
[#6:1]-[#6:3](-[#6:2])-[#8:4]>>Br-[Mg]-[#6:1].[#6:2]-O-[#6:3]=[#8:4],65
[#6:2]-[#6:3]-[#6:1]>>Br-[Mg]-[#6:1].[#6:2]=[#6:3],59
[#6:1]-[#6:2]-[#7:3]>>Cl-[Mg]-[#6:1].[#6:2]=[#7:3],58
[#6:1]-[#6:2]-[#6:3]-[#8:4]>>Br-[Mg]-[#6:1].[#6:2]1-[#6:3]-[#8:4]-1,56
[#6:1]-[#6:3](-[#6:2])-[#8:4]>>Br-[Mg]-[#6:1].[#6:2]-[#6:3]=[#8:4],54
