template,count
[OH;D1;+0:4]-[CH;D3;+0:5](-[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[Mg]-[c;H0;D3;+0:1](:[c:2]):[c:3].[O;H0;D1;+0:4]=[CH;D2;+0:5]-[c:6],207
[OH;D1;+0:4]-[CH;D3;+0:5](-[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].[O;H0;D1;+0:4]=[CH;D2;+0:5]-[c:6],139
[C:3]-[CH;D3;+0:4](-[OH;D1;+0:5])-[CH;D2;+0:1]=[C;D1;H2:2]>>Br-[Mg]-[CH;D2;+0:1]=[C;D1;H2:2].[C:3]-[CH;D2;+0:4]=[O;H0;D1;+0:5],138
[C:4]-[C;H0;D4;+0:5](-[C:6])(-[OH;D1;+0:7])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].[C:4]-[C;H0;D3;+0:5](-[C:6])=[O;H0;D1;+0:7],132
[C:2]-[CH;D3;+0:3](-[CH3;D1;+0:1])-[OH;D1;+0:4]>>Br-[Mg]-[CH3;D1;+0:1].[C:2]-[CH;D2;+0:3]=[O;H0;D1;+0:4],79
[C:4]-[C;H0;D4;+0:5](-[C:6])(-[OH;D1;+0:7])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[Mg]-[c;H0;D3;+0:1](:[c:2]):[c:3].[C:4]-[C;H0;D3;+0:5](-[C:6])=[O;H0;D1;+0:7],62
[C;D1;H1:2]#[C;H0;D2;+0:1]-[CH;D3;+0:4](-[OH;D1;+0:3])-[c:5]>>Br-[Mg]-[C;H0;D2;+0:1]#[C;D1;H1:2].[O;H0;D1;+0:3]=[CH;D2;+0:4]-[c:5],54
[C;D1;H3:2]-[CH2;D2;+0:1]-[CH;D3;+0:4](-[OH;D1;+0:3])-[c:5]>>Br-[Mg]-[CH2;D2;+0:1]-[C;D1;H3:2].[O;H0;D1;+0:3]=[CH;D2;+0:4]-[c:5],52
[C:4]-[CH2;D2;+0:3]-[CH2;D2;+0:1]-[C:2].[C:11]/[C:10](-[C:12])=[C:9]\[CH;D2;+0:8]=[C;H0;D3;+0:5](\[C:6])-[C:7]>>Br-[CH2;D2;+0:1]-[C:2].O-C-C-C-C-C-C-C-C-C-O-c1:c:c:c(-S(=O)(=O)-O-[CH2;D2;+0:3]-[C:4]):c:c:1.O=[C;H0;D3;+0:5](-[C:6])-[C:7].O=P(-[CH2;D2;+0:8]/[C:9]=[C:10](\[C:11])-[C:12])(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,52
[C:4]-[C;H0;D4;+0:5](-[OH;D1;+0:6])(-[c:7])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[Mg]-[c;H0;D3;+0:1](:[c:2]):[c:3].[C:4]-[C;H0;D3;+0:5](=[O;H0;D1;+0:6])-[c:7],48
