template,count
[#6:1]-[#6:2]>>Br-[#6:1].C-C-O-[Si](-[#6:2])(-O-C-C)-O-C-C,229
[#6:2]-[#6:1]>>Br-[#6:1].C-O-[Si](-[#6:2])(-O-C)-O-C,203
[#6:1]-[#6:2]>>C-[Si](-C)(-C)-[#6:1].I-[#6:2],165
[#6:1]-[#6:2]>>C-C-O-[Si](-[#6:1])(-O-C-C)-O-C-C.I-[#6:2],159
[#6:2]-[#6:1]>>Br-[#6:1].C-[Si](-C)(-C)-[#6:2],139
[#6:2]-[#6:1]>>C-O-[Si](-[#6:1])(-O-C)-O-C.Cl-[#6:2],113
[#6:2]-[#6:1]>>C-O-[Si](-[#6:1])(-O-C)-O-C.[#6:2],104
[#6:2]-[#6:1]>>C-[Si](-C)(-O)-[#6:1].I-[#6:2],90
[#6:2]-[#6:1]>>C-[Si](-C)(-[#6:1])-C-c1:c:c:c:c:c:1.I-[#6:2],66
[#6:1]-[#6:2]>>Br-[#6:1].C-[Si](-C)(-[#6:2])-[O-],63
[#6:1]-[#6:2]>>C-O-[Si](-[#6:1])(-O-C)-O-C.[#6:2]=[N+]=[N-],62
[#6:1]-[#6:2]-[#8:3]>>I-[#6:1].[#6:2]=[#8:3],58
[#6:2]-[#6:1]>>C-C-O-[Si](-[#6:1])(-O-C-C)-O-C-C.Cl-[#6:2],53
[#6:2]-[#6:1]>>C-[Si](-C)(-C)-[#6:1].Cl-[#6:2],49
[#6:1]-[#6:2]>>C-[Si](-C)(-[#6:1])-c1:c:c:c:c:c:1-C-O.I-[#6:2],48
[#6:1]-[#6:2]>>Cl-[#6:1].F-[Si](-F)(-F)-[#6:2],48
[#6:1]-[#6:2]>>Br-[#6:1].C=C-C-[Si](-[#6:2])(-C-C=C)-C-C=C,47
[#6:2]-[#6:1]>>C-C-O-[Si](-[#6:1])(-O-C-C)-O-C-C.[#6:2],45
[#6:2]-[#6:1]>>C-O-[Si](-[#6:1])(-O-C)-O-C.I-[#6:2],44
[#6:2]-[#6:1]>>C=C-C-[Si](-[#6:1])(-C-C=C)-C-C=C.Cl-[#6:2],44
[#6:1]-[#6:2]>>C-[Si]1(-[#6:1])-C-C-C-1.I-[#6:2],38
[#6:2]-[#6:1]>>C-C-O-[Si](-[#6:1])(-O-C-C)-O-C-C.O=C1-C-C-C-C(=O)-N-1-[#6:2],38
[#6:2]-[#6:1]>>C-C-O-[Si](-[#6:1])(-O-C-C)-O-C-C.O-C(=O)-[#6:2],35
[#6:1]-[#6:2]>>C-C-O-[Si](-[#6:1])(-O-C-C)-O-C-C.C-N(-C)-C(=O)-O-[#6:2],34
[#6:1]-[#6:2]>>C-[Si](-C)(-O)-[#6:1].Cl-[#6:2],28
[#6:2]-[#6:1]>>C-O-[Si](-[#6:1])(-O-C)-O-C.F-[#6:2],28
[#6:2]-[#6:1]>>C-[Si](-C)(-C)-O-[Si](-C)(-[#6:1])-O-[Si](-C)(-C)-C.I-[#6:2],27
[#6:2]-[#6:1]>>Br-[#6:1].C-[Si](-C)(-C)-O-[Si](-C)(-[#6:2])-C=C,27
[#6:2]-[#6:1]>>Br-[#6:1].F-[Si](-F)(-F)-[#6:2],26
[#6:2]-[#6:1]>>C-[Si](-C)(-[#6:1])-c1:c:c:c:c:n:1.I-[#6:2],26
[#6:2]-[#6:1]>>C-C-O-[Si](-[#6:1])(-O-C-C)-O-C-C.N-N-[#6:2],25
