template,count
[#7;a:4]:[c;H0;D3;+0:5](:[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>C-O-[Si](-O-C)(-O-C)-[c;H0;D3;+0:1](:[c:2]):[c:3].[#7;a:4]:[cH;D2;+0:5]:[c:6],85
[c:5]:[c;H0;D3;+0:4](:[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].C-C-O-[Si](-O-C-C)(-O-C-C)-[c;H0;D3;+0:4](:[c:5]):[c:6],68
[c:5]:[c;H0;D3;+0:4](:[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].C-O-[Si](-O-C)(-O-C)-[c;H0;D3;+0:4](:[c:5]):[c:6],63
[C:3]/[C:2]=[CH;D2;+0:1]/[CH;D3;+0:5](-[C:4])-[OH;D1;+0:6]>>I/[CH;D2;+0:1]=[C:2]/[C:3].[C:4]-[CH;D2;+0:5]=[O;H0;D1;+0:6],52
[C:2]#[C;H0;D2;+0:1]-[c;H0;D3;+0:3](:[c:4]):[c:5]>>C-[Si](-C)(-C)-[C;H0;D2;+0:1]#[C:2].I-[c;H0;D3;+0:3](:[c:4]):[c:5],51
[c:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>C-C-O-[Si](-O-C-C)(-O-C-C)-[c;H0;D3;+0:1](:[c:2]):[c:3].I-[c;H0;D3;+0:4](:[c:5]):[c:6],46
[C;D1;H1:5]#[C;H0;D2;+0:4]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].C-[Si](-C)(-C)-[C;H0;D2;+0:4]#[C;D1;H1:5],41
[C:2]#[C;H0;D2;+0:1]-[c;H0;D3;+0:3](:[c:4]):[c:5]>>C-[Si](-C)(-C)-[C;H0;D2;+0:1]#[C:2].Cl-[c;H0;D3;+0:3](:[c:4]):[c:5],41
[c:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].C-C-O-[Si](-O-C-C)(-O-C-C)-[c;H0;D3;+0:4](:[c:5]):[c:6],36
[#8:4]-[C:5](=[O;D1;H0:6])-[CH;D3;+0:7](-[c:8])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>C-O-[Si](-O-C)(-O-C)-[c;H0;D3;+0:1](:[c:2]):[c:3].[#8:4]-[C:5](=[O;D1;H0:6])-[C;H0;D3;+0:7](-[c:8])=[N+]=[N-],35
