template,count
[#6:1]1:[#6:2]:[#7:3]:[#7:4]:[#7:5]:1>>[#6:1]#[#6:2].[#7:3]=[#7;+1:4]=[#7;-1:5],44289
[#6:1]1:[#6:2]:[#7:5]:[#7:4]:[#7:3]:1>>C-[Si](-C)(-C)-[#6:1]#[#6:2].[#7:3]=[#7;+1:4]=[#7;-1:5],875
[#6:3]-[#7:4]1:[#6:1]:[#6:2]:[#7:6]:[#7:5]:1>>[#6:1]#[#6:2].[#6:3]-[#7:4]=[#7;+1:5]=[#7;-1:6],155
[#7:4]-[#6:1]-[#6:2]1:[#6:3]:[#7:5]:[#7:6]:[#7:7]:1>>Br-[#6:1]-[#6:2]#[#6:3].[#7:4].[#7:5]=[#7;+1:6]=[#7;-1:7],116
[#6:1]-[#6:2]1:[#6:3]:[#7:6]:[#7:5]:[#7:4]:1>>Br-[#6:1].[#6:2]#[#6:3].[#7:4]=[#7;+1:5]=[#7;-1:6],78
[#6:4]1:[#6:5]:[#7:3]:[#7:2]:[#7:1]:1>>C-[Si](-C)(-C)-[#7:1]=[#7;+1:2]=[#7;-1:3].[#6:4]#[#6:5],73
[#6:1]1:[#6:2]:[#7:5]:[#7:4]:[#7:3]:1>>O-C(=O)-[#6:1]#[#6:2].[#7:3]=[#7;+1:4]=[#7;-1:5],71
[#6:3]-[#6:4]-[#7:5]1:[#6:2]:[#6:1]:[#7:7]:[#7:6]:1>>[#6:1]#[#6:2].[#6:3]-[#6:4]-[#7:5]=[#7;+1:6]=[#7;-1:7],54
[#6:1]-[#6:2]1:[#6:3]:[#7:6]:[#7:5]:[#7:4]:1>>I-[#6:1].[#6:2]#[#6:3].[#7:4]=[#7;+1:5]=[#7;-1:6],54
[#16:1]-[#6:2]1:[#6:3]:[#7:6]:[#7:5]:[#7:4]:1>>C-c1:c:c:c(-S(=O)(=O)-[#16:1]):c:c:1.[#6:2]#[#6:3].[#7:4]=[#7;+1:5]=[#7;-1:6],54
[#6:1]1:[#7:2]:[#7:5]:[#7:4]:[#7:3]:1>>[#6:1]#[#7:2].[#7:3]=[#7;+1:4]=[#7;-1:5],50
[#6:1]-[#6:2]1:[#6:3]:[#7:6]:[#7:5]:[#7:4]:1>>C-[Si](-C)(-C)-[#6:1].[#6:2]#[#6:3].[#7:4]=[#7;+1:5]=[#7;-1:6],49
[#16:1]-[#7:7]1:[#6:5]:[#6:4](-[#6:3]-[#7:2]-[#16:6]):[#7:9]:[#7:8]:1>>[#16:1]-[#7:2]-[#6:3]-[#6:4]#[#6:5].[#16:6]-[#7:7]=[#7;+1:8]=[#7;-1:9],48
[#6:1]1:[#6:2]:[#7:5]:[#7:4]:[#7:3]:1>>O=[#6:1]-[#6:2].[#7:3]=[#7;+1:4]=[#7;-1:5],46
[#8:7]-[#6:1]-[#6:2]1:[#6:3]:[#7:6]:[#7:5]:[#7:4]:1>>Br-[#6:1]-[#6:2]#[#6:3].[#7:4]=[#7;+1:5]=[#7;-1:6].[#8:7],42
[#7:3]-[#6:4]-[#8:5]-[#6:6]-[#6:7]-[#7:8]1:[#6:1]:[#6:2]:[#7:10]:[#7:9]:1>>[#6:1]#[#6:2].[#7:3]-O-[#6:4]-[#8:5]-[#6:6]-[#6:7]-[#7:8]=[#7;+1:9]=[#7;-1:10],40
[#16:1]-[#6:2]1:[#6:3]:[#7:6]:[#7:5]:[#7:4]:1>>O=S(=O)(-[#16:1])-c1:c:c:c:c:c:1.[#6:2]#[#6:3].[#7:4]=[#7;+1:5]=[#7;-1:6],40
[#6:3]-[#6:5]:[#6:4]-[#6:6]-[#7:7]1:[#6:2]:[#6:1]:[#7:9]:[#7:8]:1>>[#6:1]#[#6:2].[#6:3]-[#6:4]:[#6:5]-[#6:6]-[#7:7]=[#7;+1:8]=[#7;-1:9],38
[#6:4]-[#6:1]-[#6:2]1:[#6:3]:[#7:7]:[#7:6]:[#7:5]:1>>O-[#6:1]-[#6:2]#[#6:3].[#6:4].[#7:5]=[#7;+1:6]=[#7;-1:7],35
[#6:3]1:[#6:1]:[#6:2]:[#6:5]:[#7:4]:1>>[#6:1]#[#6:2].[#6:3]-[#7;+1:4]:[#6:5],35
[#34:3]-[#6:1]1:[#6:2]:[#7:6]:[#7:5]:[#7:4]:1>>O-C(=O)-[#6:1]#[#6:2].[#34:3]-[Se]-c1:c:c:c:c:c:1.[#7:4]=[#7;+1:5]=[#7;-1:6],34
[#6:3]-[#6:2]1:[#6:1]:[#7:4]:[#7:5]:[#7:6]:1>>[#6:1]#[#6:2]-[#6:3].[#7:4]=[#7;+1:5]=[#7;-1:6],31
[#15:1]-[#6:3]1:[#6:2]:[#7:6]:[#7:5]:[#7:4]:1>>[#15:1].[#6:2]#[#6:3].[#7:4]=[#7;+1:5]=[#7;-1:6],31
[#6:3]-[#6:9]-[#6:7](-[#6:6])-[#6:5](-[#6:8])-[#6:4]-[#7:10]1:[#6:2]:[#6:1]:[#7:12]:[#7:11]:1>>[#6:1]#[#6:2].[#6:3]-[#6:4]-[#6:5](-[#6:6])-[#6:7](-[#6:8])-[#6:9]-[#7:10]=[#7;+1:11]=[#7;-1:12],28
[#6:2]1:[#6:1]:[#7:3]:[#7:4]:[#7:5]:1>>C-C(-C)-[Si](-[#6:1]#[#6:2])(-C(-C)-C)-C(-C)-C.[#7:3]=[#7;+1:4]=[#7;-1:5],28
[#6:1]1:[#7:7]:[#7:6]:[#7:5]:[#6:2]:1-[#6:3]1:[#6:4]:[#7:10]:[#7:9]:[#7:8]:1>>[#6:1]#[#6:2].[#6:3]#[#6:4].[#7:5]=[#7;+1:6]=[#7;-1:7].[#7:8]=[#7;+1:9]=[#7;-1:10],28
[#6:1]-[#6:6]=[#6:5]-[#6:8]1:[#6:7]:[#7:4]:[#7:3]:[#7:2]:1>>I-[#6:1].[#7:2]=[#7;+1:3]=[#7;-1:4].[#6:5]#[#6:6].[#6:7]#[#6:8],27
[#6:1]-[#6:3]-[#6:4]-[#8:2]>>[#6:1].[#8:2].[#6:3]=[#6:4],26
[#6:1]1-[#6:2]-[#7:3]-[#7:4]=[#7:5]-1>>[#6:1]=[#6:2].[#7:3]=[#7;+1:4]=[#7;-1:5],25
[#6:3]1-[#7:2]-[#6:1]-[#6:5]-[#8:4]-1>>[#6:1]=[#7:2].[#6:3]=[#8:4].[#6:5]=[N+]=[N-],24
[#6:1]-[#6:3]1:[#6:2]:[#7:6]:[#7:5]:[#7:4]:1>>I-[#6:1].[#6:2]#[#6:3]-[Cu].[#7:4]=[#7;+1:5]=[#7;-1:6],24
[#6:1]1:[#6:3]:[#7:2]:[#7:5]:[#7:4]:1>>O=[#6:1].O=[#7;+1:2](-[#6:3])-[O-].[#7:4]=[#7;+1:5]=[N-],24
[#6:3]1-[#6:2]=[#6:1]-[#8:5]-[#7:4]-1>>[#6:1]#[#6:2].[#6:3]=[#7;+1:4]-[#8;-1:5],23
[#6:1]1:[#6:2]:[#7:13](-[#6:12]-[#6:11]:[#6:10]:[#6:9]-[#6:8]-[#7:7]2:[#6:3]:[#6:4]:[#7:5]:[#7:6]:2):[#7:14]:[#7:15]:1>>[#6:1]#[#6:2].[#6:3]#[#6:4].[#7;-1:5]=[#7;+1:6]=[#7:7]-[#6:8]-[#6:9]:[#6:10]:[#6:11]-[#6:12]-[#7:13]=[#7;+1:14]=[#7;-1:15],23
[#6:9]1:[#6:7]:[#6:6](-[#6:5]-[#8:4]-[#6:3]-[#6:2]2:[#6:1]:[#7:12]:[#7:13]:[#7:14]:2):[#6:11]:[#6:10]:[#6:8]:1>>[#6:1]#[#6:2]-[#6:3]-[#8:4]-[#6:5]-[#6:6]1:[#6:7]:[#6:8]:[#6:9]:[#6:10]:[#6:11]:1.[#7:12]=[#7;+1:13]=[#7;-1:14],22
[#6:1]1:[#6:2]:[#7:5]:[#7:4]:[#7:3]:1>>[#6;-1:1]#[#6;-1:2].[#7:3]=[#7;+1:4]=[#7;-1:5],22
[#6:1]1-[#6:2]-[#6:3]-[#7:4]-[#8:5]-1>>[#6:1]=[#6:2].[#6:3]=[#7;+1:4]-[#8;-1:5],22
