template,count
[#6:1]-[#6:2]>>[#6:1]=[#6:2],7359
[#7:1]>>O=[#7;+1:1]-[O-],3066
[#6:1]-[#8:2]>>[#6:1]=[#8:2],1952
[#6:1]=[#6:2]>>[#6:1]#[#6:2],899
[#6:1]-[#7:2]>>O=[#6:1].[#7:2],761
[#6:1]>>O=[#6:1],666
[#6:1]>>Cl-[#6:1],647
[#6:1]-[#7:2]>>[#6:1]=[#7:2],636
[#6:1]-[#7:2]>>[#6:1]#[#7:2],613
[#7:1]>>O=C(-[#7:1])-O-C-c1:c:c:c:c:c:1,464
[#6:1]-[#6:2]>>[#6:1]#[#6:2],451
[#6:1]-[#6:2]-[#6:3]-[#6:4]>>[#6:1]=[#6:2]-[#6:3]=[#6:4],379
[#8:1]>>[#8:1]-C-c1:c:c:c:c:c:1,291
[#6:2]-[#7:1]>>O-[#7:1]=[#6:2],275
[#6:1]>>O-[#6:1],257
[#6:1]-[#6:2]-[#6:3]-[#8:4]>>[#6:1]=[#6:2]-[#6:3]=[#8:4],226
[#6:1]>>Br-[#6:1],211
[#6:1]-[#6:2]-[#6:3]-[#6:4]-[#6:5]>>[#6:1]=[#6:2]-[#6:3]-[#6:4]=[#6:5],208
[#6:1]-[#6:2]-[#6:3]-[#6:4]-[#6:5]-[#6:6]>>[#6:1]=[#6:2]-[#6:3]-[#6:4]-[#6:5]=[#6:6],180
[#6:1]-[#6:2]-[#6:3]>>[#6:1]=[#6:2]-[#6:3],134
[#7:1]>>[#7:1]-C-c1:c:c:c:c:c:1,131
[#7:1]>>[#7:1]=[N+]=[N-],107
[#6:1]-[#6:2]-[#6:3]-[#6:4]>>[#6:1]=[#6:2]-[#6:3]#[#6:4],104
[#7:1]-[#6:2]:[#6:3]:[#6:4]-[#7:5]>>O=[#7;+1:1](-[O-])-[#6:2]:[#6:3]:[#6:4]-[#7;+1:5](=O)-[O-],99
[#6:1]-[#6:2]-[#6:3]-[#6:4]-[#6:5]-[#6:6]-[#6:7]>>[#6:1]=[#6:2]-[#6:3]-[#6:4]-[#6:5]-[#6:6]=[#6:7],96
