template,count
[NH2;D1;+0:1]-[c:2]>>O=[N+;H0;D3:1](-[O-])-[c:2],2468
[C:1]-[CH2;D2;+0:2]-[CH2;D2;+0:3]-[C:4]>>[C:1]-[CH;D2;+0:2]=[CH;D2;+0:3]-[C:4],642
[C:1]-[CH2;D2;+0:2]-[CH3;D1;+0:3]>>[C:1]-[CH;D2;+0:2]=[CH2;D1;+0:3],451
[C:1]-[CH2;D2;+0:2]-[NH2;D1;+0:3]>>[C:1]-[C;H0;D2;+0:2]#[N;H0;D1;+0:3],450
[C:1]-[CH;D3;+0:2](-[OH;D1;+0:3])-[c:4]>>[C:1]-[C;H0;D3;+0:2](=[O;H0;D1;+0:3])-[c:4],325
[NH2;D1;+0:1]-[c:2].[NH2;D1;+0:3]-[c:4]>>O=[N+;H0;D3:1](-[O-])-[c:2].O=[N+;H0;D3:3](-[O-])-[c:4],309
[C:1]-[CH;D3;+0:2](-[C:3])-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](-[C:3])=[O;H0;D1;+0:4],269
[C:2]-[NH2;D1;+0:1]>>O=[N+;H0;D3:1](-[C:2])-[O-],262
[#7:4]-[C:3](=[O;D1;H0:5])-[C:2]-[NH2;D1;+0:1]>>O=C(-O-C-c1:c:c:c:c:c:1)-[NH;D2;+0:1]-[C:2]-[C:3](-[#7:4])=[O;D1;H0:5],240
[C:2]-[CH2;D2;+0:1]-[c:3]>>O=[C;H0;D3;+0:1](-[C:2])-[c:3],226
[C:1]-[CH;D2;+0:2]=[CH2;D1;+0:3]>>[C:1]-[C;H0;D2;+0:2]#[CH;D1;+0:3],218
[C:1]-[CH;D3;+0:2]1-[CH2;D2;+0:3]-[CH2;D2;+0:4]-[CH2;D2;+0:5]-[CH2;D2;+0:6]-[CH2;D2;+0:7]-1>>[C:1]-[c;H0;D3;+0:2]1:[cH;D2;+0:3]:[cH;D2;+0:4]:[cH;D2;+0:5]:[cH;D2;+0:6]:[cH;D2;+0:7]:1,217
[C:1]/[CH;D2;+0:2]=[CH;D2;+0:3]\[C:4]>>[C:1]-[C;H0;D2;+0:2]#[C;H0;D2;+0:3]-[C:4],205
[C:1]-[C@@H;D3;+0:2](-[C:3])-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](-[C:3])=[O;H0;D1;+0:4],194
[C:1]-[CH2;D2;+0:2]-[CH2;D2;+0:3]-[C:4]>>[C:1]-[C;H0;D2;+0:2]#[C;H0;D2;+0:3]-[C:4],189
[C:1]-[CH2;D2;+0:2]-[C@@H;D3;+0:3](-[C:4])-[C:5]>>[C:1]-[CH;D2;+0:2]=[C;H0;D3;+0:3](-[C:4])-[C:5],182
[#7;a:4]:[c:3]:[c:2]-[NH2;D1;+0:1]>>O=[N+;H0;D3:1](-[O-])-[c:2]:[c:3]:[#7;a:4],179
[C:1]-[CH;D3;+0:2](-[C;D1;H3:3])-[CH3;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](-[C;D1;H3:3])=[CH2;D1;+0:4],170
[C:1]-[CH2;D2;+0:2]-[CH;D3;+0:3](-[C;D1;H3:4])-[C;D1;H3:5]>>[C:1]-[CH;D2;+0:2]=[C;H0;D3;+0:3](-[C;D1;H3:4])-[C;D1;H3:5],161
[C:1]-[C@H;D3;+0:2](-[C:3])-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](-[C:3])=[O;H0;D1;+0:4],156
[C:1]-[CH;D3;+0:2](-[C;D1;H3:3])-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](-[C;D1;H3:3])=[O;H0;D1;+0:4],152
[C:1]-[CH2;D2;+0:2]-[OH;D1;+0:3]>>[C:1]-[CH;D2;+0:2]=[O;H0;D1;+0:3],152
[C:1]-[CH2;D2;+0:2]-[CH2;D2;+0:3]-[C:4]>>[C:1]/[CH;D2;+0:2]=[CH;D2;+0:3]/[C:4],150
[C:1]-[CH2;D2;+0:2]-[CH2;D2;+0:3]-[c:4]>>[C:1]-[CH;D2;+0:2]=[CH;D2;+0:3]-[c:4],147
[OH;D1;+0:2]-[c:1]>>[c:1]-[O;H0;D2;+0:2]-C-c1:c:c:c:c:c:1,136
[OH;D1;+0:1]-[CH2;D2;+0:2]-[c:3]>>[O;H0;D1;+0:1]=[CH;D2;+0:2]-[c:3],129
[C:1]-[CH2;D2;+0:2]-[CH3;D1;+0:3]>>[C:1]-[C;H0;D2;+0:2]#[CH;D1;+0:3],125
[O;D1;H0:1]=[C:2]-[CH2;D2;+0:3]-[CH2;D2;+0:4]-[c:5]>>[O;D1;H0:1]=[C:2]/[CH;D2;+0:3]=[CH;D2;+0:4]/[c:5],104
[#7;a:2]:[cH;D2;+0:1]:[c:3]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[c:3],94
[C:1]-[C@@H;D3;+0:2](-[C:3])-[CH2;D2;+0:4]-[C:5]>>[C:1]-[C;H0;D3;+0:2](-[C:3])=[CH;D2;+0:4]-[C:5],88
[C:1]-[CH;D3;+0:2]1-[CH2;D2;+0:3]-[CH2;D2;+0:4]-[CH2;D2;+0:5]-[CH2;D2;+0:6]-[NH;D2;+0:7]-1>>[C:1]-[c;H0;D3;+0:2]1:[cH;D2;+0:3]:[cH;D2;+0:4]:[cH;D2;+0:5]:[cH;D2;+0:6]:[n;H0;D2;+0:7]:1,84
[C:2]-[CH;D2;+0:1]=[O;D1;H0:3]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3],82
[C:1]-[CH2;D2;+0:2]-[CH2;D2;+0:3]-[C:4]=[O;D1;H0:5]>>[C:1]-[CH;D2;+0:2]=[CH;D2;+0:3]-[C:4]=[O;D1;H0:5],81
[C:2]-[NH2;D1;+0:1]>>O=C(-O-C-c1:c:c:c:c:c:1)-[NH;D2;+0:1]-[C:2],81
[C:2]-[CH2;D2;+0:1]-[OH;D1;+0:3]>>C-C-O-[C;H0;D3;+0:1](-[C:2])=[O;H0;D1;+0:3],81
[C:1]-[CH2;D2;+0:2]-[CH2;D2;+0:3]-[C:4]>>[C:1]/[CH;D2;+0:2]=[CH;D2;+0:3]\[C:4],80
[C:1]-[CH;D3;+0:2](-[C:3])-[CH2;D2;+0:4]-[C:5]>>[C:1]-[C;H0;D3;+0:2](-[C:3])=[CH;D2;+0:4]-[C:5],80
[C:1]-[CH;D3;+0:2](-[C:3])-[CH3;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](-[C:3])=[CH2;D1;+0:4],77
[C:1]-[CH2;D2;+0:2]-[CH2;D2;+0:3]-[c:4]>>[C:1]/[CH;D2;+0:2]=[CH;D2;+0:3]/[c:4],76
[O;D1;H0:2]=[CH;D2;+0:1]-[c:3]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3],75
[CH2;D2;+0:3]1-[CH2;D2;+0:4]-[CH2;D2;+0:5]-[CH2;D2;+0:6]-[c:1]:[c:2]-1>>[c:1]1:[c:2]:[cH;D2;+0:3]:[cH;D2;+0:4]:[cH;D2;+0:5]:[cH;D2;+0:6]:1,74
[NH2;D1;+0:1]-[CH2;D2;+0:2]-[c:3]>>[N;H0;D1;+0:1]#[C;H0;D2;+0:2]-[c:3],73
