template,count
[#15:2]-[#6:1]-[#7:3]>>O=[#6:1].[#15:2].[#7:3],2599
[#7:4]-[#6:3]-[#15:2]=[#8:1]>>C-C-[#8:1]-[#15:2].O=[#6:3].[#7:4],202
[#7:4]-[#6:1]-[#15:2]=[#8:3]>>O=[#6:1].[#15:2]-[#8:3].[#7:4],145
[#7:4]-[#6:3]-[#15:2]=[#8:1]>>C-[#8:1]-[#15:2].O=[#6:3].[#7:4],69
[#15:1]-[#6:2]-[#7:3]>>O-[#15:1].O=[#6:2].[#7:3],40
[#15:1]-[#6:2]-[#7:3]>>[#15:1].[#6:2]=[#7:3],39
[#15:1]-[#6:2]-[#8:3]>>[#15:1].[#6:2]=[#8:3],38
[#15:3]-[#6:1]-[#7:5]-[#6:2]-[#15:4]>>O=[#6:1].O=[#6:2].[#15:3].[#15:4].[#7:5],35
[#7:4]-[#6:1]-[#15:2]=[#8:3]>>O=[#6:1].[#15:2]-[#8:3]-c1:c:c:c:c:c:1.[#7:4],29
[#15:3]-[#6:1]-[#7:2]>>O=[#6:1].O=[#7;+1:2]-[O-].[#15:3],21
[#15:3]-[#6:2]-[#7:4]-[#6:1]>>O-[#6:1].O=[#6:2].[#15:3].[#7:4],15
[#15:3]-[#6:1]-[#7:5]-[#6:6]-[#6:7]-[#8:8]-[#6:9]-[#6:10]-[#8:11]-[#6:12]-[#6:13]-[#7:14]-[#6:2]-[#15:4]>>O=[#6:1].O=[#6:2].[#15:3].[#15:4].[#7:5]-[#6:6]-[#6:7]-[#8:8]-[#6:9]-[#6:10]-[#8:11]-[#6:12]-[#6:13]-[#7:14],9
[#7:4]-[#6:3]-[#15:1]=[#8:2]>>[#15:1]-[#8:2].[#6:3]=[#7:4],7
[#15:4]-[#6:2]-[#7:8]-[#6:7]-[#6:6]-[#7:5]-[#6:1]-[#15:3]>>O=[#6:1].O=[#6:2].[#15:3].[#15:4].[#7:5]-[#6:6]-[#6:7]-[#7:8],6
