template,count
[#8:3]-[P;H0;D4;+0:4](-[#8:5])(=[O;D1;H0:6])-[CH;D3;+0:1](-[c:2])-[NH;D2;+0:7]-[c:8]>>O=[CH;D2;+0:1]-[c:2].[#8:3]-[PH;D3;+0:4](-[#8:5])=[O;D1;H0:6].[NH2;D1;+0:7]-[c:8],1009
[#8:3]-[P;H0;D4;+0:4](-[#8:5])(=[O;D1;H0:6])-[CH;D3;+0:1](-[c:2])-[NH;D2;+0:8]-[C:7]>>O=[CH;D2;+0:1]-[c:2].[#8:3]-[PH;D3;+0:4](-[#8:5])=[O;D1;H0:6].[C:7]-[NH2;D1;+0:8],165
[#7;a:4]:[c:3]:[c:2]-[CH;D3;+0:1](-[NH;D2;+0:9]-[c:10])-[P;H0;D4;+0:6](-[#8:5])(-[#8:7])=[O;D1;H0:8]>>O=[CH;D2;+0:1]-[c:2]:[c:3]:[#7;a:4].[#8:5]-[PH;D3;+0:6](-[#8:7])=[O;D1;H0:8].[NH2;D1;+0:9]-[c:10],99
[#16;a:3]:[c:4](:[#7;a:5])-[NH;D2;+0:6]-[CH;D3;+0:1](-[c:2])-[P;H0;D4;+0:8](-[#8:7])(-[#8:9])=[O;D1;H0:10]>>O=[CH;D2;+0:1]-[c:2].[#16;a:3]:[c:4](:[#7;a:5])-[NH2;D1;+0:6].[#8:7]-[PH;D3;+0:8](-[#8:9])=[O;D1;H0:10],81
[#8:3]-[P;H0;D4;+0:2](-[#8:4])(=[O;H0;D1;+0:1])-[CH;D3;+0:5](-[c:6])-[NH;D2;+0:7]-[c:8]>>C-C-[O;H0;D2;+0:1]-[P;H0;D3;+0:2](-[#8:3])-[#8:4].O=[CH;D2;+0:5]-[c:6].[NH2;D1;+0:7]-[c:8],61
[#8:3]-[P;H0;D4;+0:4](-[#8:5])(=[O;H0;D1;+0:6])-[CH;D3;+0:1](-[c:2])-[NH;D2;+0:7]-[c:8]>>O=[CH;D2;+0:1]-[c:2].[#8:3]-[P;H0;D3;+0:4](-[#8:5])-[OH;D1;+0:6].[NH2;D1;+0:7]-[c:8],54
[#8:3]-[P;H0;D4;+0:4](-[#8:5])(=[O;D1;H0:6])-[CH;D3;+0:1](-[C:2])-[NH;D2;+0:7]-[c:8]>>O=[CH;D2;+0:1]-[C:2].[#8:3]-[PH;D3;+0:4](-[#8:5])=[O;D1;H0:6].[NH2;D1;+0:7]-[c:8],50
[#8:2]-[P;H0;D4;+0:3](-[#8:4])(=[O;D1;H0:5])-[CH2;D2;+0:1]-[N;H0;D3;+0:7](-[C:6])-[C:8]>>O=[CH2;D1;+0:1].[#8:2]-[PH;D3;+0:3](-[#8:4])=[O;D1;H0:5].[C:6]-[NH;D2;+0:7]-[C:8],48
[CH;D3;+0:2]-[c:3].[O;H0;D1;+0:1]>>[O;H0;D1;+0:1]=[CH;D2;+0:2]-[c:3],48
[CH3;D1;+0:5].[CH;D3;+0:2]-[c:3]:[cH;D2;+0:4].[O;H0;D2;+0:1].[c:7]:[cH;D2;+0:6]>>[O;H0;D1;+0:1]=[CH;D2;+0:2]-[c:3]:[cH;D2;+0:4]:[cH;D2;+0:5]:[cH;D2;+0:6]:[c:7],47
[#8:3]-[P;H0;D4;+0:4](-[#8:5])(=[O;D1;H0:6])-[CH;D3;+0:1](-[c:2])-[N;H0;D3;+0:8](-[C:7])-[C:9]>>O=[CH;D2;+0:1]-[c:2].[#8:3]-[PH;D3;+0:4](-[#8:5])=[O;D1;H0:6].[C:7]-[NH;D2;+0:8]-[C:9],44
[#8:3]-[P;H0;D4;+0:4](-[#8:5])(=[O;D1;H0:6])-[CH;D3;+0:1](-[C:2])-[NH;D2;+0:8]-[C:7]>>O=[CH;D2;+0:1]-[C:2].[#8:3]-[PH;D3;+0:4](-[#8:5])=[O;D1;H0:6].[C:7]-[NH2;D1;+0:8],43
[#8:7]-[P;H0;D4;+0:8](-[#8:9])(=[O;D1;H0:10])-[CH;D3;+0:1](-[NH;D2;+0:11]-[c:12])-[c:2]1:[c:3]:[#7;a:4]:[#7;a:5]:[c:6]:1>>O=[CH;D2;+0:1]-[c:2]1:[c:3]:[#7;a:4]:[#7;a:5]:[c:6]:1.[#8:7]-[PH;D3;+0:8](-[#8:9])=[O;D1;H0:10].[NH2;D1;+0:11]-[c:12],40
