template,count
[#6:1]-[#6:2]>>Br-[Mg]-[#6:1].Cl-[#6:2],3260
[#6:2]-[#6:1]>>Br-[#6:1].Br-[Mg]-[#6:2],3060
[#6:2]-[#6:1]>>Cl-[#6:1].Cl-[Mg]-[#6:2],1362
[#6:1]-[#6:2]>>Br-[Mg]-[#6:1].I-[#6:2],1137
[#6:2]-[#6:1]>>Br-[#6:1].Cl-[Mg]-[#6:2],1101
[#6:1]-[#6:2]>>Cl-[Mg]-[#6:1].I-[#6:2],504
[#6:1]-[#6:2]>>Cl-[#6:1].[#6:2]-[Mg+],271
[#6:1]-[#6:2]>>Br-[#6:1].[#6:2]-[Mg+],174
[#6:2]-[#6:1]>>Cl-[#6:1].I-[Mg]-[#6:2],171
[#6:1]-[#6:2]>>Br-[#6:1].Br-[#6:2],168
[#6:1]-[#6:2]>>Br-[Mg]-[#6:1].C-c1:c:c:c(-S(=O)(=O)-O-[#6:2]):c:c:1,148
[#6:2]-[#6:1]>>Br-[#6:1].I-[Mg]-[#6:2],73
[#6:1]-[#6:2]>>Br-[Mg]-[#6:1].C-O-[#6:2],68
[#6:1]-[#6:2]>>I-[#6:1].[#6:2]-[Mg+],53
[#6:1]-[#6:2]>>Br-[#6:1].I-[#6:2],52
[#6:1]-[#6:2]>>I-[#6:1].[#6:2],49
[#6:1]-[#6:2]>>Br-[#6:1].Cl-[#6:2],47
[#6:1]-[#6:2]>>Br-[Mg]-[#6:1].F-[#6:2],38
[#6:2]-[#6:1]>>C-c1:c:c:c(-S(=O)(=O)-O-[#6:1]):c:c:1.Cl-[Mg]-[#6:2],37
[#6:2]-[#6:1]>>Br-[Mg]-[#6:1].C-C(-C)(-C)-N-[#6:2],35
[#6:1]-[#6:2]>>Br-[#6:1].O-B(-O)-[#6:2],32
[#6:2]-[#6:1]>>Br-[Mg]-[#6:1].[#6:2]-O-c1:c:c:c:c:n:1,31
[#6:1]-[#6:2]-[#6:3]>>Cl-[Mg]-[#6:1].I-[#6:2]-[#6:3],28
[#6:1]-[#6:2]>>I-[#6:1].I-[#6:2],27
[#6:1]-[#6:6]-[#6:5]-[#6:4]-[#8:3]-[#16:2]-[#8:7]>>Br-[Mg]-[#6:1].[#16:2]1-[#8:3]-[#6:4]-[#6:5]-[#6:6]-[#8:7]-1,26
[#6:2]-[#6:1]>>Br-[Mg]-[#6:1].O=P(-O-[#6:2])(-O-c1:c:c:c:c:c:1)-O-c1:c:c:c:c:c:1,26
[#6:2]-[#6:4]-[#6:3]-[#6:1]>>Br-[#6:1].Br-[Mg]-[#6:2].[#6:3]=[#6:4],25
[#6:2]-[#6:1]>>Br-[#6:1].[#6:2],24
[#6:1]-[#6:2]>>Br-[Mg]-[#6:1].F-C(-F)(-F)-S(=O)(=O)-O-[#6:2],23
[#6:2]-[#6:1]>>Br-[Mg]-[#6:1].[#6:2]-S-c1:c:c:c:c:c:1,22
[#6:2]-[#6:1]-[#6:3]>>Br-[#6:1]-Br.Br-[Mg]-[#6:2].Br-[Mg]-[#6:3],21
[#6:2]-[#6:1]>>C-C-O-[Mg]-[#6:1].Cl-[#6:2],20
[#6:2]-[#6:1]>>Br-[#6:1].F-C(-F)(-F)-S(=O)(=O)-O-[#6:2],20
[#6:1]-[#6:2]>>I-[#6:1].I-[Mg]-[#6:2],19
[#6:1]-[#7:2]>>C-N(-C)-S(=O)(=O)-O-[#6:1].[#7;-1:2],18
[#6:1]-[#6:2]>>Br-[Mg]-[#6:1].C-C(-C)(-C)-O-C(=O)-N(-[#6:2])-c1:c:c:c:c:c:1,18
[#6:1]-[#6:2]>>Br-[Mg]-[#6:1].C-c1:c:c:c(-S(=O)(=O)-[#6:2]):c:c:1,16
[#6:2]-[#6:3]-[#6:4]-[#6:1]>>Br-[Mg]-[#6:1].I-[#6:2].[#6:3]=[#6:4],15
[#6:4]-[#6:2]-[#6:1]-[#8:3]>>C-C-O-[#6:1]-[#6:2]-[Mg]-[#8:3].Cl-[#6:4],14
[#6:1]>>Cl-[#6:1],13
[#6:2]-[#6:1]>>Cl-[#6:1]-[Mg]-Cl.[#6:2],13
[#6:1]-[#6:2]>>Br-[Mg]-[#6:1].C-[Si](-C)(-C)-O-[#6:2],13
[#6:1]-[#6:2]>>Br-[Mg]-[#6:1].O-[#6:2],13
[#6:1]-[#6:2]>>Br-[#6:1].C-c1:c:c:c(-S(=O)(=O)-O-[#6:2]):c:c:1,13
[#6:2]-[#6:1]-[#6:3]>>Br-[#6:1]-Br.Cl-[Mg]-[#6:2].Cl-[Mg]-[#6:3],12
[#6:2]-[#6:1]>>Cl-[Mg]-[#6:1].F-C(-F)(-F)-S(=O)(=O)-O-[#6:2],12
[#6:1]-[#6:2]>>C-[Mg]-[#6:1].Cl-[#6:2],12
[#6:1]-[#6:2]>>Cl-[Mg]-[#6:1].O=P(-O-[#6:2])(-O-c1:c:c:c:c:c:1)-O-c1:c:c:c:c:c:1,12
[#6:3]-[#6:1]-[#6:2]>>Cl-[#6:1]-[#6:2].Cl-[Mg]-[#6:3],11
[#6:1]-[#6:2]-[#6:3]>>Br-[Mg]-[#6:1].Cl-[#6:2]-[#6:3],11
[#6:1]-[#6:3]-[#6:2]>>Br-[Mg]-[#6:1].Br-[Mg]-[#6:2].Cl-[#6:3]-Cl,10
[#6:1]-[#6:2]>>Cl-[Mg]-[#6:1].F-C(-F)(-F)-S(=O)(=O)-O-I(-[#6:2])-c1:c:c:c:c:c:1,10
[#6:1]-[#6:2]>>Cl-[Mg]-[#6:1].F-[#6:2],10
[#6:1]-[#6:2]-[#6:3]>>Br-[Mg]-[#6:1].I-[#6:2]-[#6:3],10
[#6:1]-[#6:2]>>Br-[Mg]-[#6:1].O=S(=O)(-O-[#6:2])-O-c1:c:c:c2:c:c:c:c:c:2:c:1,9
[#6:2]-[#6:1]>>Br-[#6:1]-Br.Cl-[Mg]-[#6:2],9
[#6:2]-[#6:1]>>Br-[Mg]-[#6:1].O=C(-[#6:2])-O-N1-C(=O)-c2:c:c:c:c:c:2-C-1=O,9
[#6:2]-[#6:1]>>Cl-[Mg]-[#6:1].Cl-c1:c(-Cl):c(-Cl):c2:c(:c:1-Cl)-C(=O)-N(-O-C(=O)-[#6:2])-C-2=O,9
[#6:2]-[#6:1]>>Br-[Mg]-[#6:1].O-C(=O)-[#6:2],9
[#6:1]-[#6:3]:[#6:4]-[#6:2]>>Br-[Mg]-[#6:1].Br-[Mg]-[#6:2].Cl-[#6:3]:[#6:4]-Cl,8
[#6:2]-[#6:1]-[#6:3]>>Cl-[#6:1]-Cl.Cl-[Mg]-[#6:2].Cl-[Mg]-[#6:3],8
[#6:1]-[#6:2]>>C-C-O-[Mg]-[#6:1]-C(=O)-O-C-C.Cl-[#6:2],8
[#6:1]-[#6:2]>>I-[#6:1].[#6:2]-[Mg]-C#C-c1:c:c:c:c:c:1,8
[#6:1]=[#6:2]>>Br-[Mg]-[#6:1].C-c1:c:c:c(-S(=O)(=O)-[#6:2]):c:c:1,8
[#6:1]-[#6:2]>>Br-[Mg]-[#6:1].S-[#6:2],8
[#6:2]-[#6:1]>>Br-[#6:1].O=P(-O-[#6:2])(-O-c1:c:c:c:c:c:1)-O-c1:c:c:c:c:c:1,8
[#6:1]-[#6:5]:[#6:4]-[#6:3]:[#6:2]-[#6:6]>>Br-[Mg]-[#6:1].F-C(-F)(-F)-S(=O)(=O)-O-[#6:2]:[#6:3]-[#6:4]:[#6:5]-O-S(=O)(=O)-[#6:6](-F)(-F)-F,8
[#6:2]-[#6:1]>>Br-[Mg]-[#6:1].O=C(-[#6:2])-O-C1-C(=O)-c2:c:c:c:c:c:2-C-1=O,8
[#6:2]-[#6:1]-[#6:3]>>Br-[#6:1]-[#6:2].Br-[Mg]-[#6:3],8
[#6:1]-[#6:2]>>Br-[#6:1].C-S-[#6:2],8
[#6:1]>>Br-[#6:1],7
