template,count
[c:5]:[c;H0;D3;+0:4](:[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[Mg]-[c;H0;D3;+0:1](:[c:2]):[c:3].Br-[c;H0;D3;+0:4](:[c:5]):[c:6],202
[c:5]:[c;H0;D3;+0:4](:[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[Mg]-[c;H0;D3;+0:1](:[c:2]):[c:3].Cl-[c;H0;D3;+0:4](:[c:5]):[c:6],133
[C:5]-[C;H0;D3;+0:4](=[O;D1;H0:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[Mg]-[c;H0;D3;+0:1](:[c:2]):[c:3].Cl-[C;H0;D3;+0:4](-[C:5])=[O;D1;H0:6],132
[c:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Br-[Mg]-[c;H0;D3;+0:1](:[c:2]):[c:3].Cl-[c;H0;D3;+0:4](:[c:5]):[c:6],130
[c:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Br-[Mg]-[c;H0;D3;+0:1](:[c:2]):[c:3].Br-[c;H0;D3;+0:4](:[c:5]):[c:6],126
[C:2]-[CH2;D2;+0:1]-[c;H0;D3;+0:3](:[c:4]):[c:5]>>Br-[CH2;D2;+0:1]-[C:2].Br-[Mg]-[c;H0;D3;+0:3](:[c:4]):[c:5],113
[O;D1;H0:5]=[C;H0;D3;+0:4](-[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[Mg]-[c;H0;D3;+0:1](:[c:2]):[c:3].Cl-[C;H0;D3;+0:4](=[O;D1;H0:5])-[c:6],107
[C:2]-[CH2;D2;+0:1]-[c;H0;D3;+0:3](:[c:4]):[c:5]>>Br-[Mg]-[CH2;D2;+0:1]-[C:2].Br-[c;H0;D3;+0:3](:[c:4]):[c:5],104
[C:2]-[CH2;D2;+0:1]-[C;H0;D3;+0:3](-[C:4])=[O;D1;H0:5]>>Br-[Mg]-[CH2;D2;+0:1]-[C:2].Cl-[C;H0;D3;+0:3](-[C:4])=[O;D1;H0:5],104
[C:2]-[CH2;D2;+0:1]-[c;H0;D3;+0:3](:[c:4]):[c:5]>>Br-[Mg]-[CH2;D2;+0:1]-[C:2].Cl-[c;H0;D3;+0:3](:[c:4]):[c:5],102
[C:4]-[CH2;D2;+0:3]-[CH2;D2;+0:1]-[C:2]>>Br-[CH2;D2;+0:1]-[C:2].Cl-[Mg]-[CH2;D2;+0:3]-[C:4],76
[C:5]-[CH2;D2;+0:4]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[Mg]-[c;H0;D3;+0:1](:[c:2]):[c:3].I-[CH2;D2;+0:4]-[C:5],70
[C:4]-[CH2;D2;+0:3]-[CH2;D2;+0:1]-[C:2]>>Br-[CH2;D2;+0:1]-[C:2].Br-[Mg]-[CH2;D2;+0:3]-[C:4],66
