template,count
[#6:2]-[#6:1]-[#7:3]>>O=[#6:1].[#6:2].[#7:3],7129
[#6:1]-[#6:2]-[#7:3]>>[#6:1].[#6:2]=[#7:3],2648
[#7:2]-[#6:1]-[#7:3]>>O=[#6:1].[#7:2].[#7:3],2027
[#6:3]-[#6:1]-[#7:5]-[#6:2]-[#8:4]>>O=[#6:1].O=[#6:2].[#6:3].[#8:4].[#7:5],377
[#16:2]=[#6:3]:[#7:4]-[#6:1]-[#7:5]>>O=[#6:1].[#16:2]-[#6:3]:[#7:4].[#7:5],324
[#7:5]-[#6:4]-[#6:3]-[#6:2]=[#8:1]>>C-[Si](-C)(-C)-[#8:1]-[#6:2]=[#6:3].[#6:4]=[#7:5],266
[#6:2]-[#6:1]>>O=S(=O)(-[#6:1])-c1:c:c:c:c:c:1.[#6:2],232
[#15:2]-[#6:1]-[#7:3]>>O=[#6:1].[#15:2].[#7:3],211
[#6:3]-[#6:1]-[#7:5]-[#6:2]-[#6:4]>>O=[#6:1].O=[#6:2].[#6:3].[#6:4].[#7:5],167
[#6:2]-[#6:1]>>[#6:1].[#6:2],158
[#7:2]-[#6:1]-[#8:3]>>O=[#6:1].[#7:2].[#8:3],154
[#6:1]-[#6:2]-[#7:3]>>O-B(-O)-[#6:1].O=[#6:2].[#7:3],145
[#6:2]-[#6:3]-[#7:4]-[#6:1]>>O=[#6:1].[#6:2].[#6:3]-[#7:4],145
[#6:2]-[#6:1]>>C-c1:c:c:c(-S(=O)(=O)-[#6:1]):c:c:1.[#6:2],145
[#6:3]-[#6:1]-[#7:5]-[#6:2]-[#7:4]>>O=[#6:1].O=[#6:2].[#6:3].[#7:4].[#7:5],139
[#6:1]-[#6:2]>>O-[#6:1].[#6:2],131
