template,count
[#6:1]-[#6:2]>>Br-[#6:1].Br-[Zn]-[#6:2],800
[#6:1]-[#6:2]>>Br-[#6:1].Cl-[Zn]-[#6:2],550
[#6:2]-[#6:1]>>Br-[#6:1].I-[#6:2],547
[#6:2]-[#6:1]>>I-[#6:1].[#6:2],525
[#6:2]-[#6:1]>>Br-[#6:1].[#6:2],465
[#6:1]-[#6:2]>>I-[#6:1].I-[#6:2],408
[#6:1]-[#6:2]>>Br-[#6:1].Br-[#6:2],364
[#6:2]-[#6:1]>>Br-[Zn]-[#6:1].I-[#6:2],321
[#6:2]-[#6:1]>>Cl-[Zn]-[#6:1].I-[#6:2],286
[#6:1]-[#6:2]>>Br-[#6:1].I-[Zn]-[#6:2],261
[#6:2]-[#6:1]>>Br-[Zn]-[#6:1].Cl-[#6:2],257
[#6:2]-[#6:1]>>Cl-[#6:1].Cl-[Zn]-[#6:2],234
[#6:1]-[#6:2]>>Br-[#6:1].Cl-[#6:2],196
[#6:1]-[#6:2]>>I-[#6:1].I-[Zn]-[#6:2],164
[#6:2]-[#6:1]>>Br-[#6:1].Br-[Mg]-[#6:2],139
[#6:1]-[#6:2]>>Cl-[#6:1].[#6:2],105
[#6:2]-[#6:1]>>Cl-[Zn]-[#6:1].F-C(-F)(-F)-S(=O)(=O)-O-[#6:2],96
[#6:2]-[#6:1]>>Br-[#6:1].F-C(-F)(-F)-S(=O)(=O)-O-[#6:2],93
[#6:2]-[#6:1]>>Br-[Zn]-[#6:1].F-C(-F)(-F)-S(=O)(=O)-O-[#6:2],92
[#6:2]-[#6:1]>>Cl-[#6:1].I-[#6:2],66
[#6:1]-[#6:2]>>Br-[#6:1].[#6:2]-[Zn]-c1:c:c:c:c:c:1,65
[#6:1]-[#6:2]>>C-c1:c:c:c(-S(=O)(=O)-O-[#6:1]):c:c:1.Cl-[Zn]-[#6:2],59
[#6:1]-[#6:2]>>Br-[#6:1].C-[Zn]-[#6:2],58
[#6:1]-[#6:2]>>Br-[#6:1].[#6:2]-[Zn+],55
[#6:2]-[#6:1]>>Br-[#6:1].[#6;-1:2],50
[#6:2]-[#6:1]>>Br-[#6:1].C-C-[Zn]-[#6:2],49
[#6:1]-[#6:2]>>I-[#6:1].[#6:2]-[Zn+],46
[#6:1]-[#6:2]=[#6:3]=[#6:4]>>I-[#6:1].[#6:2]-[#6:3]#[#6:4],46
[#6:1]-[#6:2]>>Br-[Mg]-[#6:1].Cl-[#6:2],44
[#6:1]-[#6:3]-[#6:2]-[#7:4]>>Br-[Zn]-[#6:1].[#6:2]1-[#6:3]-[#7:4]-1,44
[#6:2]-[#6:1]>>Br-[#6:1].C-O-c1:c:c:c(-[Zn]-[#6:2]):c:c:1,39
[#6:2]-[#6:1]>>Br-[#6:1].[#6:2]-[Li],39
[#6:2]-[#6:1]>>Cl-[Zn]-[#6:1].O=P(-O-[#6:2])(-O-c1:c:c:c:c:c:1)-O-c1:c:c:c:c:c:1,37
[#6:1]-[#6:2]>>Br-[Mg]-[#6:1].I-[#6:2],37
[#6:2]-[#6:1]>>C-S(=O)(=O)-O-[#6:1].I-[#6:2],37
[#6:1]-[#6:2]>>Cl-[Zn]-[#6:1].O=C1-C-C-C-C(=O)-N-1-[#6:2],35
[#6:1]-[#6:2]>>Br-[#6:1].C-N(-C)-c1:c:c:c(-[Zn]-[#6:2]):c:c:1,34
[#6:2]-[#6:1]>>Br-[#6:1].C-c1:c:c:c:c:c:1-[Zn]-[#6:2],32
[#6:2]-[#6:1]>>Cl-[#6:1].Cl-[Mg]-[#6:2],32
[#6:2]-[#6:1]>>Br-[Mg]-[#6:1].C-c1:c:c:c(-S(=O)(=O)-O-[#6:2]):c:c:1,32
[#6:1]-[#6:2]-[#8:3]>>Br-[#6:1].[#6:2]=[#8:3],31
[#6:2]-[#6:1]>>I-[#6:1].[#6:2]-[Li],31
[#6:1]-[#6:2]>>Cl-[Mg]-[#6:1].I-[#6:2],31
[#6:1]-[#6:2]>>Cl-[#6:1].I-[Zn]-[#6:2],31
[#6:1]-[#6:2]>>Br-[#6:1].C-C(-C)(-C)-C(=O)-O-[Zn]-[#6:2],31
[#6:1]/[#6:2]=[#6:3]>>Br-[#6:1].[#6:2]#[#6:3],30
[#6:2]-[#6:1]>>C-C(-C)(-C)-O-C(=O)-N(-[#6:1])-C(=O)-O-C(-C)(-C)-C.Cl-[Zn]-[#6:2],30
[#6:2]-[#6:1]>>C-[N+](-C)(-C)-[#6:1].Cl-[Zn]-[#6:2],29
[#6:1]-[#6:2]>>F-C(-F)(-F)-S(=O)(=O)-O-[#6:1].I-[#6:2],29
