template,count
[C:2]-[CH2;D2;+0:1]-[c;H0;D3;+0:3](:[c:4]):[c:5]>>Br-[Zn]-[CH2;D2;+0:1]-[C:2].Br-[c;H0;D3;+0:3](:[c:4]):[c:5],89
[C:2]-[CH2;D2;+0:1]-[c;H0;D3;+0:3](:[c:4]):[c:5]>>I-[CH2;D2;+0:1]-[C:2].I-[c;H0;D3;+0:3](:[c:4]):[c:5],65
[#8:4]-[C:3](=[O;D1;H0:5])-[C:2]-[CH2;D2;+0:1]-[c;H0;D3;+0:6](:[c:7]):[c:8]>>I-[CH2;D2;+0:1]-[C:2]-[C:3](-[#8:4])=[O;D1;H0:5].I-[c;H0;D3;+0:6](:[c:7]):[c:8],48
[c:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].I-[c;H0;D3;+0:4](:[c:5]):[c:6],48
[c:5]:[c;H0;D3;+0:4](:[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].I-[c;H0;D3;+0:4](:[c:5]):[c:6],43
[#8:4]-[C:3](=[O;D1;H0:5])-[C@@H;D3;+0:1](-[C;D1;H3:2])-[c;H0;D3;+0:6](:[c:7]):[c:8]>>Br-[CH;D3;+0:1](-[C;D1;H3:2])-[C:3](-[#8:4])=[O;D1;H0:5].Br-[Zn]-[c;H0;D3;+0:6](:[c:7]):[c:8],40
[#16:4]-[CH2;D2;+0:5]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].[#16:4]-[CH3;D1;+0:5],37
[C:2]-[CH;D3;+0:1](-[C:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Br-[Zn]-[CH;D3;+0:1](-[C:2])-[C:3].Br-[c;H0;D3;+0:4](:[c:5]):[c:6],36
[c:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].Cl-[Zn]-[c;H0;D3;+0:4](:[c:5]):[c:6],36
[c:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Cl-[Zn]-[c;H0;D3;+0:1](:[c:2]):[c:3].Cl-[c;H0;D3;+0:4](:[c:5]):[c:6],35
[c:4]:[c;H0;D3;+0:5](:[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>I-[c;H0;D3;+0:1](:[c:2]):[c:3].[c:4]:[cH;D2;+0:5]:[c:6],34
