template,count
[#6:4]1-[#6:5]-[#6:1]-[#6:2]=[#6:3]-1>>[#6;H0:1].[#6:2]#[#6:3].[#6:4]=[#6:5],387
[#6:4]-[#6:5]1-[#6:1]-[#6:2]=[#6:3]-[#6:6]-1-[#6:7]>>[#6;H0:1].[#6:2]#[#6:3].[#6:4]-[#6:5]=[#6:6]-[#6:7],51
[#6:1]1-[#6:2]=[#6:3]-[#6:4]-[#7:5]-1>>[#6;H0:1].[#6:2]#[#6:3].[#6:4]=[#7:5],49
[#6:6]1:[#6:5]:[#6:4]:[#6:3]2:[#6:8](:[#7:7]:1)-[#7:9]-[#6:1]-[#6:2]-2>>[#6;H0:1].[#6:2]#[#6:3]-[#6:4]-[#6:5]:[#6:6]-[#7:7]=[#6:8]=[#7:9],26
[#6:4]1-[#6:5]-[#6:1]-[#6:2]=[#6:3]-1>>O=C=[Mo](=[#6:1])(=C=O)(=C=O)(=C=O)=C=O.[#6:2]#[#6:3].[#6:4]=[#6:5],23
[#6:3]1-[#6:1]-[#6:2]-[#6:4]=[#6:5]-1>>C-[Si](-C)(-[#6:1]=[#6:2])-c1:c:c:c:c:n:1.[#6;H0:3].[#6:4]#[#6:5],15
[#6:4]1=[#6:3]-[#6:2]-[#6:1]-[#6:5]-1>>[#6;H0:1].[#6:2]=[#6:3]-[#6:4]=[#6:5],13
[#6:2]-[#6:5]1=[#6:6]-[#6:4]-[#6:3]-[#6:1]-1>>[#6;H0:1].[#6:2]-[#6:3]#[#6:4].[#6:5]=[#6:6],13
[#6:4]-[#6:5]1=[#6:6]-[#6:1]-[#6:2]-[#6:3]-1>>[#6;H0:1].[#6:2]=[#6:3].[#6:4]=[#6:5]=[#6:6],12
[#6:2]1-[#6:4]-[#6:5]-[#6:1]-[#6:3]-1>>[#6;H0:1].[#6:2]=[#6:3].[#6:4]=[#6:5],12
[#6:2]1=[#6:3]-[#6:1]-[#6:5]=[#6:4]-1>>[#6;H0:1].[#6:2]#[#6:3].[#6:4]#[#6:5],11
[#6:2]=[#6:3]1-[#6:5]-[#6:6]-[#6:1]-[#7:4]-1>>[#6;H0:1].[#6:2]-[#6:3]#[#7:4].[#6:5]=[#6:6],10
[#8:2]=[#6:9]1-[#6:8]-[#6:4]2:[#6:5]:[#6:6]:[#6:7]:[#6:1]:[#6:3]:2-[#7:10]-1>>[#6;H0:1]=[#8:2].[#6:3]=[#6:4]=[#6:5]-[#6:6]:[#6:7]-[#6:8]-[#6:9]#[#7:10],10
[#6:4]-[#6:2]=[#6:3]-[#6:1]-[#6:5]>>[#6;H0:1].[#6:2]#[#6:3].[#6:4]-[#6:5],8
[#6:6]-[#6:5]1-[#6:2]=[#6:3]-[#6:1]-[#6:4]-1>>[#6;H0:1].[#6:2]#[#6:3].[#6:4]-[#6:5]=[#6:6],8
[#6:2]1=[#6:3]-[#6:1]-[#6:4]-[#6:5]-1>>O-[#6:1].[#6:2]#[#6:3].[#6:4]=[#6:5],6
[#8:2]=[#6:1]1-[#6:5]-[#6:6]-[#6:3]=[#6:4]-1>>O=[#6:1]-[#8:2].[#6:3]#[#6:4].[#6:5]=[#6:6],6
[#6:2]-[#6:3]1-[#6:4]-[#6:1]-[#8:6]-[#6:5]-1>>[#6;H0:1].[#6:2]-[#6:3]=[#6:4].[#6:5]=[#8:6],6
[#6:1]1-[#6:4]-[#6:5]-[#6:2]=[#6:3]-1>>F-c1:c(-F):c(-F):c(-[#6:1]):c(-F):c:1-F.[#6:2]#[#6:3].[#6:4]=[#6:5],6
