template,count
[C:3]-[C;H0;D3;+0:4]1=[C;H0;D3;+0:5](-[c:6])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[CH2;D2;+0:9]-[CH;D3;+0:8]-1-[C:7]>>[C;H0;D1;+0:1]=[O;D1;H0:2].[C:3]-[C;H0;D2;+0:4]#[C;H0;D2;+0:5]-[c:6].[C:7]-[CH;D2;+0:8]=[CH2;D1;+0:9],21
[C:4]-[C;H0;D4;+0:5](-[C:6])-[CH;D2;+0:7]=[C;H0;D3;+0:2](-[C;H0;D3;+0:1])-[c:3]>>[CH;D1;+0:1]#[C;H0;D2;+0:2]-[c:3].[C:4]-[C;H0;D3;+0:5](-[C:6])=[CH2;D1;+0:7],12
[#15:3]-[C;H0;D3;+0:4]1=[C;H0;D3;+0:5](-[C:6])-[CH;D3;+0:8](-[C:7])-[CH2;D2;+0:9]-[C;H0;D3;+0:1]-1=[O;D1;H0:2]>>O=C=[Mo](=C=O)(=C=O)(=C=O)(=C=O)=[C;H0;D2;+0:1]=[O;D1;H0:2].[#15:3]-[C;H0;D2;+0:4]#[C;H0;D2;+0:5]-[C:6].[C:7]-[CH;D2;+0:8]=[CH2;D1;+0:9],11
[C:7]=[C;H0;D3;+0:8]1-[CH2;D2;+0:9]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C;H0;D3;+0:5](-[c:6])=[C;H0;D3;+0:4]-1-[C:3]>>[C;H0;D1;+0:1]=[O;D1;H0:2].[C:3]-[C;H0;D2;+0:4]#[C;H0;D2;+0:5]-[c:6].[C:7]=[C;H0;D2;+0:8]=[CH2;D1;+0:9],9
[C:3]-[C;H0;D3;+0:4]1=[CH;D2;+0:5]-[C@H;D3;+0:12]2-[C@@H;D3;+0:8]3-[C:7]=[C:6]-[C@@H;D3;+0:10](-[C:9]-3)-[C@H;D3;+0:11]-2-[C;H0;D3;+0:1]-1=[O;D1;H0:2]>>[C;H0;D1;+0:1]=[O;D1;H0:2].[C:3]-[C;H0;D2;+0:4]#[CH;D1;+0:5].[C:6]1=[C:7]-[CH;D3;+0:8]2-[C:9]-[CH;D3;+0:10]-1-[CH;D2;+0:11]=[CH;D2;+0:12]-2,9
[C:6]=[C;H0;D3;+0:7]1-[CH2;D2;+0:8]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[CH;D2;+0:5]=[C;H0;D3;+0:4]-1-[C:3]>>[C;H0;D1;+0:1]=[O;D1;H0:2].[C:3]-[C;H0;D2;+0:4]#[CH;D1;+0:5].[C:6]=[C;H0;D2;+0:7]=[CH2;D1;+0:8],9
[C:6]-[CH;D3;+0:7]1-[CH2;D2;+0:8]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[CH;D2;+0:5]=[C;H0;D3;+0:4]-1-[C:3]>>[C;H0;D1;+0:1]=[O;D1;H0:2].[C:3]-[C;H0;D2;+0:4]#[CH;D1;+0:5].[C:6]-[CH;D2;+0:7]=[CH2;D1;+0:8],9
[C:3]-[C;H0;D3;+0:4]1=[C;H0;D3;+0:5](-[c:6])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[CH2;D2;+0:9]-[C;H0;D3;+0:8]-1=[C:7]>>[C;H0;D1;+0:1]=[O;D1;H0:2].[C:3]-[C;H0;D2;+0:4]#[C;H0;D2;+0:5]-[c:6].[C:7]=[C;H0;D2;+0:8]=[CH2;D1;+0:9],8
[C:7]=[C;H0;D3;+0:8]1-[CH2;D2;+0:9]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C;H0;D3;+0:4](-[C:3])=[C;H0;D3;+0:5]-1-[C:6]>>[C;H0;D1;+0:1]=[O;D1;H0:2].[C:3]-[C;H0;D2;+0:4]#[C;H0;D2;+0:5]-[C:6].[C:7]=[C;H0;D2;+0:8]=[CH2;D1;+0:9],8
[C:10]=[C;H0;D3;+0:11]1-[CH2;D2;+0:12]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C;H0;D3;+0:5](-[#14:6](-[C;D1;H3:7])(-[C;D1;H3:8])-[C;D1;H3:9])=[C;H0;D3;+0:4]-1-[C:3]>>[C;H0;D1;+0:1]=[O;D1;H0:2].[C:3]-[C;H0;D2;+0:4]#[C;H0;D2;+0:5]-[#14:6](-[C;D1;H3:7])(-[C;D1;H3:8])-[C;D1;H3:9].[C:10]=[C;H0;D2;+0:11]=[CH2;D1;+0:12],8
[C:3]-[C;H0;D3;+0:4]1=[C;H0;D3;+0:5](-[c:6])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C;H0;D3;+0:9](-[c:10])=[C;H0;D3;+0:8]-1-[C:7]>>[C;H0;D1;+0:1]=[O;D1;H0:2].[C:3]-[C;H0;D2;+0:4]#[C;H0;D2;+0:5]-[c:6].[C:7]-[C;H0;D2;+0:8]#[C;H0;D2;+0:9]-[c:10],8
[C:3]-[C;H0;D3;+0:4]1=[CH;D2;+0:5]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[CH2;D2;+0:8]-[C;H0;D3;+0:7]-1=[C:6]>>[C;H0;D1;+0:1]=[O;D1;H0:2].[C:3]-[C;H0;D2;+0:4]#[CH;D1;+0:5].[C:6]=[C;H0;D2;+0:7]=[CH2;D1;+0:8],8
[C:7]-[C;H0;D3;+0:8]1=[CH;D2;+0:9]-[CH;D3;+0:3](-[c:4])-[N;H0;D3;+0:2](-[C;D1;H3:1])-[C;H0;D3;+0:5]-1=[O;D1;H0:6]>>[C;D1;H3:1]-[N;H0;D2;+0:2]=[CH;D2;+0:3]-[c:4].[C;H0;D1;+0:5]=[O;D1;H0:6].[C:7]-[C;H0;D2;+0:8]#[CH;D1;+0:9],7
[C:3]-[C;H0;D3;+0:4]1=[CH;D2;+0:5]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[CH2;D2;+0:8]-[CH;D3;+0:7]-1-[C:6]>>[C;H0;D1;+0:1]=[O;D1;H0:2].[C:3]-[C;H0;D2;+0:4]#[CH;D1;+0:5].[C:6]-[CH;D2;+0:7]=[CH2;D1;+0:8],7
[C:3]-[C;H0;D3;+0:4]1=[CH;D2;+0:5]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[CH2;D2;+0:8]-[C@@H;D3;+0:7]-1-[C:6]>>[C;H0;D1;+0:1]=[O;D1;H0:2].[C:3]-[C;H0;D2;+0:4]#[CH;D1;+0:5].[C:6]-[CH;D2;+0:7]=[CH2;D1;+0:8],7
[C:3]-[N;H0;D3;+0:4]1-[C;H0;D3;+0:5]2=[N;H0;D2;+0:6]-[c:7]:[c:8]-[C;H0;D3;+0:9]-2=[C;H0;D3;+0:10](-[c:11])-[C;H0;D3;+0:1]-1=[O;D1;H0:2]>>[C;H0;D1;+0:1]=[O;D1;H0:2].[C:3]-[N;H0;D2;+0:4]=[C;H0;D1;+0:5].[N-]=[N+]=[N;H0;D2;+0:6]-[c:7]:[c:8]-[C;H0;D2;+0:9]#[C;H0;D2;+0:10]-[c:11],7
