template,count
[#6:1]-[#7:2]>>O=[#6:1].[#7:2],33521
[#7:2]-[#6:1]-[#7:3]>>O=[#6:1].[#7:2].[#7:3],507
[#6:1]-[#7:3]-[#6:2]>>O=[#6:1].O=[#6:2].[#7:3],425
[#6:2]-[#7:3]-[#6:1]>>O=[#6:1].[#6:2]-[#7:3],96
[#6:2]-[#6:1]-[#7:3]>>O=[#6:1]-[#6:2].[#7:3],45
[#6:2]-[#6:3]-[#7:4]-[#6:1]>>O=[#6:1].[#6:2]-[#6:3]-[#7:4],26
[#6:1]-[#7:2]-[#6:6]-[#6:5]=[#6:4]-[#6:3]-[#8:7]>>O=[#6:1].[#7:2]-[#6:3]-[#6:4]=[#6:5]-[#6:6]-[#8:7],21
[#6:3]-[#6:2]-[#6:1]-[#7:4]>>O=[#6:1]-[#6:2]-[#6:3].[#7:4],13
[#6:1]-[#7:7]-[#6:6]-[#6:4](:[#6:2]):[#6:3]:[#6:5]>>O=[#6:1].[#6:2]:[#6:3]:[#6:4](:[#6:5])-[#6:6]-[#7:7],11
[#6:5]-[#6:4]-[#6:3]-[#6:2]-[#6:1]-[#7:6]>>O=[#6:1]-[#6:2]-[#6:3]-[#6:4]-[#6:5].[#7:6],11
[#6:1]-[#7:2]-[#6:4]-[#6:3]-[#8:5]>>O=[#6:1].[#7:2]-[#6:3]-[#6:4]-[#8:5],10
[#7:5]-[#6:3]-[#7:2]-[#6:1]=[#8:4]>>O=[#6:1]-[#7:2].[#6:3]=[#8:4].[#7:5],7
[#6:4]-[#6:2]-[#6:3]-[#6:1]-[#7:5]>>O=[#6:1]-[#6:2]-[#6:3]-[#6:4].[#7:5],7
[#6:1]-[#7:2]>>[#6:1]=N-C1-C-C-C-C-C-1-N-C-c1:c:c:c:c:c:1.[#7:2],7
[#6:2]-[#6:5]-[#6:3](-[#6:6])-[#7:4]-[#6:1]>>O=[#6:1].[#6:2]-[#6:3](-[#7:4])-[#6:5]-[#6:6],7
[#6:1]-[#7:5]-[#6:3]-[#6:4]-[#7:2]>>O=[#6:1].[#7:2]-[#6:3]-[#6:4]-[#7:5],7
