template,count
[C:3]-[NH;D2;+0:4]-[CH2;D2;+0:1]-[c:2]>>O=[CH;D2;+0:1]-[c:2].[C:3]-[NH2;D1;+0:4],8687
[C:2]-[CH2;D2;+0:1]-[NH;D2;+0:4]-[C:3]>>O=[CH;D2;+0:1]-[C:2].[C:3]-[NH2;D1;+0:4],2340
[C:3]-[NH;D2;+0:4]-[CH2;D2;+0:1]-[C:2]>>O=[CH;D2;+0:1]-[C:2].[C:3]-[NH2;D1;+0:4],2010
[c:4]-[NH;D2;+0:3]-[CH2;D2;+0:1]-[c:2]>>O=[CH;D2;+0:1]-[c:2].[NH2;D1;+0:3]-[c:4],1830
[C:2]-[CH2;D2;+0:1]-[NH;D2;+0:3]-[c:4]>>O=[CH;D2;+0:1]-[C:2].[NH2;D1;+0:3]-[c:4],1716
[c:2]-[CH2;D2;+0:1]-[NH;D2;+0:3]-[c:4]>>O=[CH;D2;+0:1]-[c:2].[NH2;D1;+0:3]-[c:4],1412
[#7;a:3]:[c:2]-[CH2;D2;+0:1]-[NH;D2;+0:5]-[C:4]>>O=[CH;D2;+0:1]-[c:2]:[#7;a:3].[C:4]-[NH2;D1;+0:5],1358
[#7;a:4]:[c:3]:[c:2]-[CH2;D2;+0:1]-[NH;D2;+0:6]-[C:5]>>O=[CH;D2;+0:1]-[c:2]:[c:3]:[#7;a:4].[C:5]-[NH2;D1;+0:6],949
[CH2;D2;+0:1]-[c:2]>>O=[CH;D2;+0:1]-[c:2],902
[#8:3]-[C:4](=[O;D1;H0:5])-[C:6]-[NH;D2;+0:7]-[CH2;D2;+0:1]-[C:2]>>O=[CH;D2;+0:1]-[C:2].[#8:3]-[C:4](=[O;D1;H0:5])-[C:6]-[NH2;D1;+0:7],763
[#8:3]-[C:4](=[O;D1;H0:5])-[C:6]-[NH;D2;+0:7]-[CH2;D2;+0:1]-[c:2]>>O=[CH;D2;+0:1]-[c:2].[#8:3]-[C:4](=[O;D1;H0:5])-[C:6]-[NH2;D1;+0:7],743
[#16;a:3]:[c:2]-[CH2;D2;+0:1]-[NH;D2;+0:5]-[C:4]>>O=[CH;D2;+0:1]-[c:2]:[#16;a:3].[C:4]-[NH2;D1;+0:5],434
[#8;a:3]:[c:2]-[CH2;D2;+0:1]-[NH;D2;+0:5]-[C:4]>>O=[CH;D2;+0:1]-[c:2]:[#8;a:3].[C:4]-[NH2;D1;+0:5],420
[C;D1;H3:3]-[NH;D2;+0:4]-[CH2;D2;+0:1]-[c:2]>>O=[CH;D2;+0:1]-[c:2].[C;D1;H3:3]-[NH2;D1;+0:4],418
[O;D1;H0:6]=[C:5](-[O;D1;H1:7])-[C:4]-[NH;D2;+0:3]-[CH2;D2;+0:1]-[c:2]>>O=[CH;D2;+0:1]-[c:2].[NH2;D1;+0:3]-[C:4]-[C:5](=[O;D1;H0:6])-[O;D1;H1:7],396
[#7;a:3]:[c:4]:[c:5]-[NH;D2;+0:6]-[CH2;D2;+0:1]-[c:2]>>O=[CH;D2;+0:1]-[c:2].[#7;a:3]:[c:4]:[c:5]-[NH2;D1;+0:6],326
[#7:3]-[C:4](=[O;D1;H0:5])-[C:6]-[NH;D2;+0:7]-[CH2;D2;+0:1]-[c:2]>>O=[CH;D2;+0:1]-[c:2].[#7:3]-[C:4](=[O;D1;H0:5])-[C:6]-[NH2;D1;+0:7],313
[#7:3]-[C:4](=[O;D1;H0:5])-[C:6]-[NH;D2;+0:7]-[CH2;D2;+0:1]-[C:2]>>O=[CH;D2;+0:1]-[C:2].[#7:3]-[C:4](=[O;D1;H0:5])-[C:6]-[NH2;D1;+0:7],263
[#7;a:4]:[c:3]:[c:2]-[CH2;D2;+0:1]-[NH;D2;+0:5]-[c:6]>>O=[CH;D2;+0:1]-[c:2]:[c:3]:[#7;a:4].[NH2;D1;+0:5]-[c:6],252
[CH2;D2;+0:2]-[c:3].[O;H0;D1;+0:1]>>[O;H0;D1;+0:1]=[CH;D2;+0:2]-[c:3],240
[#7;a:3]:[c:4]-[NH;D2;+0:5]-[CH2;D2;+0:1]-[c:2]>>O=[CH;D2;+0:1]-[c:2].[#7;a:3]:[c:4]-[NH2;D1;+0:5],233
[C:2]-[CH2;D2;+0:1]-[NH;D2;+0:4]-[C;D1;H3:3]>>O=[CH;D2;+0:1]-[C:2].[C;D1;H3:3]-[NH2;D1;+0:4],229
[#7;a:3]:[#7;a:4]:[c:5]-[NH;D2;+0:6]-[CH2;D2;+0:1]-[c:2]>>O=[CH;D2;+0:1]-[c:2].[#7;a:3]:[#7;a:4]:[c:5]-[NH2;D1;+0:6],227
[#7:3]-[C:2]-[CH2;D2;+0:1]-[NH;D2;+0:5]-[C:4]>>O=[CH;D2;+0:1]-[C:2]-[#7:3].[C:4]-[NH2;D1;+0:5],204
[O;D1;H0:5]=[C:4]-[NH;D2;+0:3]-[CH2;D2;+0:1]-[c:2]>>O=[CH;D2;+0:1]-[c:2].[NH2;D1;+0:3]-[C:4]=[O;D1;H0:5],189
[#7;a:4]:[c:3]:[c:2]-[CH2;D2;+0:1]-[NH;D2;+0:6]-[C;D1;H3:5]>>O=[CH;D2;+0:1]-[c:2]:[c:3]:[#7;a:4].[C;D1;H3:5]-[NH2;D1;+0:6],188
[CH2;D2;+0:2]-[c:3].[OH;D1;+0:1]>>[O;H0;D1;+0:1]=[CH;D2;+0:2]-[c:3],187
[N;D1;H2:3]-[C:4](=[O;D1;H0:5])-[C:6]-[NH;D2;+0:7]-[CH2;D2;+0:1]-[c:2]>>O=[CH;D2;+0:1]-[c:2].[N;D1;H2:3]-[C:4](=[O;D1;H0:5])-[C:6]-[NH2;D1;+0:7],176
[#7;a:3]:[c:2]-[CH2;D2;+0:1]-[NH;D2;+0:4]-[c:5]>>O=[CH;D2;+0:1]-[c:2]:[#7;a:3].[NH2;D1;+0:4]-[c:5],173
[C:3]-[NH;D2;+0:4]-[CH2;D2;+0:1]-[C;D1;H3:2]>>O=[CH;D2;+0:1]-[C;D1;H3:2].[C:3]-[NH2;D1;+0:4],162
[#8:3]-[C:2]-[CH2;D2;+0:1]-[NH;D2;+0:5]-[C:4]>>O=[CH;D2;+0:1]-[C:2]-[#8:3].[C:4]-[NH2;D1;+0:5],162
