template,count
[#6:1]-[#7:2]>>Cl-[#6:1].[#7:2],1564
[#6:1]-[#7:2]>>O-[#6:1].[#7:2],841
[#6:1]-[#7:2]>>Br-[#6:1].[#7:2],588
[#6:1]-[#8:2]>>Cl-[#6:1].[#8:2],573
[#16:1]-[#7:2]>>Cl-[#16:1].[#7:2],453
[#6:2]-[#6:1]>>I-[#6:1].[#6:2],438
[#6:1]-[#8:2]>>Br-[#6:1].[#8:2],421
[#14:1]-[#8:2]>>Cl-[#14:1].[#8:2],420
[#16:1]-[#8:2]>>Cl-[#16:1].[#8:2],374
[#15:1]-[#8:2]>>Cl-[#15:1].[#8:2],360
[#6:1]-[#6:2]>>Br-[#6:1].[#6:2],313
[#6:1]-[#6:2]>>Cl-[#6:1].[#6:2],210
[#7:1]>>C-C(-C)(-C)-O-C(=O)-[#7:1],205
[#8:1]>>C-C(-C)(-C)-[Si](-C)(-C)-[#8:1],195
[#16:2]-[#6:1]>>Cl-[#6:1].[#16:2],188
[#16:2]-[#6:1]>>Br-[#6:1].[#16:2],185
[#6:1]-[#7:2]>>C-C-O-[#6:1].[#7:2],166
[#6:1]-[#6:2]-[#8:3]>>[#6:1].[#6:2]=[#8:3],155
[#6:1]-[#8:2]>>O-[#6:1].[#8:2],147
[#6:1]-[#7:2]>>F-[#6:1].[#7:2],142
[#6:1]-[#7:2]>>C-C(-C)(-C)-O-C(=O)-O-[#6:1].[#7:2],130
[#14:1]-[#6:2]>>Cl-[#14:1].[#6:2],126
[#6:2]-[#6:1]>>Br-[#6:1].O-B(-O)-[#6:2],123
[#6:1]-[#7:2]>>C-S-[#6:1].[#7:2],121
[#16:1]-[#6:2]>>C-c1:c:c:c(-S(=O)(=O)-[#16:1]):c:c:1.[#6:2],107
[#6:1]-[#8:2]>>F-[#6:1].[#8:2],102
[#6:1]-[#6:2]-[#8:3]>>Br-[#6:1].[#6:2]=[#8:3],97
[#6:1]-[#7:2]>>C-c1:c:c:c(-S(=O)(=O)-O-[#6:1]):c:c:1.[#7:2],94
[#15:1]-[#7:2]>>Cl-[#15:1].[#7:2],91
[#16:2]-[#6:1]>>O=P(-O-[#6:1])(-O-c1:c:c:c:c:c:1)-O-c1:c:c:c:c:c:1.[#16:2],83
[#6:1]-[#7:2]>>C-O-[#6:1].[#7:2],82
[#7:2]-[#6:1]-[#7:3]>>[#6:1]=[#7:2].[#7:3],82
[#8:1]>>C-C(-C)(-C)-[Si](-[#8:1])(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,81
[#6:1]-[#6:2]>>C-C-C-C-[Sn](-[#6:1])(-C-C-C-C)-C-C-C-C.I-[#6:2],77
[#8:1]>>C-[#8:1],76
[#7:1]>>O=C1-[#7:1]-C(=O)-c2:c:c:c:c:c:2-1,75
[#8:2]-[#15:1]-[#8:3]>>Cl-[#15:1]-Cl.[#8:2].[#8:3],75
[#6:1]-[#6:2]>>Br-[#6:1].Br-[#6:2],74
[#16:1]-[#8:2]>>F-C(-F)(-F)-S(=O)(=O)-O-[#16:1].[#8:2],73
[#6:1]-[#7:2]>>I-[#6:1].[#7:2],69
[#6:1]-[#8:2]>>Cl-C(-Cl)(-Cl)-C(=N)-O-[#6:1].[#8:2],68
[#15:1]-[#8:2]>>C-C(-C)-N(-[#15:1])-C(-C)-C.[#8:2],68
[#16:2]-[#6:1]>>Br-[#6:1].[#16;-1:2],66
[#16:2]-[#6:1]>>C-S(=O)(=O)-O-[#6:1].[#16:2],66
[#6:1]>>C-[Si](-C)(-C)-[#6:1],65
[#16:2]-[#6:1]>>C-C(=O)-O-[#6:1].[#16:2],65
[#6:1]-[#8:2]>>I-[#6:1].[#8:2],64
[#8:1]>>[#8:1]-C1-C-C-C-C-O-1,61
[#6:2]-[#6:1]>>Br-[#6:1].I-[#6:2],61
[#6:1]=[#7:2]>>O=[#6:1].[#7:2],59
[#8:1]>>C-C-[#8:1],59
[#6:1]-[#8:2]>>C-C(=O)-O-[#6:1].[#8:2],59
[#14:1]-[#8:2]>>F-C(-F)(-F)-S(=O)(=O)-O-[#14:1].[#8:2],58
[#6:1]-[#7:3]-[#6:2]>>[#6:1]-O-[#6:2].[#7:3],57
[#6:1]-[#7:2]>>O=C1-C-C-C(=O)-N-1-O-[#6:1].[#7:2],57
[#6:1]-[#6:2]>>C-C-C-C-[Sn](-[#6:1])(-C-C-C-C)-C-C-C-C.F-C(-F)(-F)-S(=O)(=O)-O-[#6:2],57
[#6:2]-[#6:1]>>Cl-[#6:1].O-B(-O)-[#6:2],56
[#7:4]-[#6:1]:[#6:2]-[#7:3]>>Cl-[#6:1]:[#6:2]-Cl.[#7:3].[#7:4],55
[#6:2]-[#6:1]>>Br-[#6:1].C-C-C-C-[Sn](-[#6:2])(-C-C-C-C)-C-C-C-C,54
[#6:1]-[#7:2]>>[#6:1].[#7:2],53
[#6:1]-[#7:2]>>C-C(=O)-O-[#6:1].[#7:2],53
[#16:2]-[#6:1]>>I-[#6:1].[#16:2],52
[#6:1]-[#6:2]>>I-[#6:1].O-B(-O)-[#6:2],52
[#6:1]-[#6:2]>>F-C(-F)(-F)-S(=O)(=O)-O-[#6:1].[#6:2],52
[#6:1]-[#7:2]>>C-N(-C)-[#6:1].[#7:2],49
[#7:4]-[#6:2]-[#6:1]-[#8:3]>>[#6:1]1-[#6:2]-[#8:3]-1.[#7:4],46
[#6:2]-[#6:1]>>Br-[#6:1].Cl-[#6:2],46
[#8:1]>>C=C-C-[#8:1],45
[#6:2]-[#6:1]>>C-O-[#6:1].[#6:2],45
[#6:1]-[#8:2]>>Br-[#6:1].[#8;-1:2],44
[#6:1]-[#6:2]>>F-C(-F)(-F)-S(=O)(=O)-O-[#6:1].O-B(-O)-[#6:2],43
[#7:3]\[#6:1]=[#7:2]>>S=[#6:1]-[#7:2].[#7:3],43
[#6:1]-[#8:2]>>Cl-[#6:1].[#8;-1:2],42
[#6:1]-[#7:2]>>F-C(-F)(-F)-S(=O)(=O)-O-[#6:1].[#7:2],42
[#16:2]-[#6:1]>>Cl-[#6:1].[#16;-1:2],42
[#8:2]-[#6:1]-[#8:3]>>C-O-[#6:1]-O-C.[#8:2].[#8:3],41
[#6:1]-[#7:2]>>[#6:1]-n1:c:c:n:c:1.[#7:2],41
[#14:1]-[#8:4]-[#6:3]=[#6:2]>>Cl-[#14:1].[#6:2]-[#6:3]=[#8:4],41
[#6:1]-[#6:2]>>O-[#6:1].[#6:2],41
[#16:2]-[#6:1]>>O-[#6:1].[#16:2],40
[#7:1]>>O=C(-[#7:1])-O-C-C1-c2:c:c:c:c:c:2-c2:c:c:c:c:c:2-1,39
