template,count
[#6:1]-[#6:2]>>Br-[#6:1].O-B(-O)-[#6:2],69416
[#6:2]-[#6:1]>>Br-[#6:1].C-C1(-C)-O-B(-[#6:2])-O-C-1(-C)-C,37836
[#6:1]-[#6:2]>>Cl-[#6:1].O-B(-O)-[#6:2],19488
[#6:1]-[#6:2]>>I-[#6:1].O-B(-O)-[#6:2],16739
[#6:1]-[#6:2]>>C-C1(-C)-O-B(-[#6:1])-O-C-1(-C)-C.Cl-[#6:2],12399
[#6:2]-[#6:1]>>C-C1(-C)-O-B(-[#6:1])-O-C-1(-C)-C.I-[#6:2],8527
[#6:2]-[#6:1]>>Br-[#6:1].F-[B-](-F)(-F)-[#6:2],3039
[#6:1]-[#6:2]>>Cl-[#6:1].F-[B-](-F)(-F)-[#6:2],1259
[#6:2]-[#6:1]>>Br-[#6:1].C-C1(-C)-C-O-B(-[#6:2])-O-C-1,538
[#6:1]-[#6:2]>>F-[B-](-F)(-F)-[#6:1].I-[#6:2],454
[#6:2]-[#6:1]>>Br-[#6:1].[#6:2]-B1-C2-C-C-C-C-1-C-C-C-2,437
[#6:1]-[#6:2]>>C-C1(-C)-C-O-B(-[#6:1])-O-C-1.I-[#6:2],408
[#6:2]-[#6:1]>>I-[#6:1].[#6:2]-B1-C2-C-C-C-C-1-C-C-C-2,364
[#6:1]-[#6:2]>>Br-[#6:1].C-C-B(-[#6:2])-C-C,197
[#6:1]-[#6:2]>>Br-[#6:1].C-N1-C-C(=O)-O-B(-[#6:2])-O-C(=O)-C-1,169
[#6:2]-[#6:1]>>Br-[#6:1].C-O-B(-[#6:2])-O-C,145
[#6:1]-[#6:2]>>C-C1(-C)-C-O-B(-[#6:1])-O-C-1.Cl-[#6:2],142
[#6:4]-[#6:1]:[#6:2]:[#6:3]-[#6:5]>>Br-[#6:1]:[#6:2]:[#6:3]-Br.O-B(-O)-[#6:4].O-B(-O)-[#6:5],128
[#6:2]-[#6:1]>>Br-[#6:1].[#6:2]-B1-O-c2:c:c:c:c:c:2-O-1,121
[#6:1]-[#6:2]>>Cl-[#6:1].[#6:2]-B1-C2-C-C-C-C-1-C-C-C-2,104
[#6:1]-[#6:2]>>Br-[#6:1].[#6:2]-B1-O-C-C-C-O-1,98
[#6:1]-[#6:2]>>I-[#6:1].[#6:2]-B1-O-C-C-C-O-1,92
[#6:5]-[#6:1]:[#6:2]:[#6:3]:[#6:4]-[#6:6]>>Br-[#6:1]:[#6:2]:[#6:3]:[#6:4]-Br.O-B(-O)-[#6:5].O-B(-O)-[#6:6],83
[#6:2]-[#6:1]>>I-[#6:1].[#6:2]-B1-O-c2:c:c:c:c:c:2-O-1,82
[#6:2]-[#6:1]>>Br-[#6:1].C-C-C-C-O-B(-[#6:2])-O-C-C-C-C,77
[#6:2]-[#6:1]>>Br-[#6:1].C-C(-C)-O-[B-](-[#6:2])(-O-C(-C)-C)-O-C(-C)-C,73
[#6:2]-[#6:1]>>Br-[#6:1].C-C(-C)-O-B(-[#6:2])-O-C(-C)-C,72
[#6:2]-[#6:1]>>Br-[#6:1].O-[B-](-O)(-O)-[#6:2],66
[#6:1]-[#6:2]>>C-C(-C)-O-[B-](-[#6:1])(-O-C(-C)-C)-O-C(-C)-C.I-[#6:2],66
[#6:2]-[#6:1]>>Br-[#6:1].[#6:2]-B1-O-C-C-O-1,57
[#6:1]-[#6:2]>>Br-[#6:1].[#6:2]-B1-O-[C@@H]2-C-C-C-[C@@H]-1-C-C-C-2,50
[#6:1]-[#6:2]>>Br-[#6:1].[#6:2]-B1-N-c2:c:c:c:c3:c:c:c:c(:c:2:3)-N-1,49
[#6:1]-[#6:2]>>C-C(-C)-O-[B-](-[#6:1])(-O-C(-C)-C)-O-C(-C)-C.Cl-[#6:2],49
[#6:2]-[#6:1]>>Br-[#6:1].C-C1-C-C(-C)(-C)-O-B(-[#6:2])-O-1,47
[#6:1]-[#6:2]>>Br-[#6:1].C-C12-C-O-[B-](-[#6:2])(-O-C-1)-O-C-2,43
[#6:1]-[#6:2]>>C-C1-C-C(-C)(-C)-O-B(-[#6:1])-O-1.I-[#6:2],40
[#6:1]-[#6:3]:[#6:2]>>Br-[#6:1].O-B(-O)-[#6:2]:[#6:3],38
[#6:4]-[#6:1]:[#6:2]:[#6:3]-[#6:5]>>Cl-[#6:1]:[#6:2]:[#6:3]-Cl.O-B(-O)-[#6:4].O-B(-O)-[#6:5],37
[#6:4]-[#6:1]:[#7:2]:[#6:3]-[#6:5]>>Cl-[#6:1]:[#7:2]:[#6:3]-Cl.O-B(-O)-[#6:4].O-B(-O)-[#6:5],36
[#6:1]:[#6:2]-[#6:3]>>Br-[#6:1]:[#6:2].O-B(-O)-[#6:3],36
[#6:2]-[#6:1]>>C-N1-C-C(=O)-O-B(-[#6:1])-O-C(=O)-C-1.Cl-[#6:2],34
[#6:2]-[#6:1]>>Br-[#6:1].C-[C@@]12-O-B(-[#6:2])-O-[C@]-1(-C)-c1:c:c:c:c3:c:c:c:c-2:c:1:3,33
[#6:5]-[#6:2]:[#6:3]:[#6:4]-[#6:1]>>Br-[#6:1].C-C1(-C)-O-B(-[#6:2]:[#6:3]:[#6:4]-[#6:5])-O-C-1(-C)-C,32
[#6:5]-[#6:3]:[#6:2]:[#6:1]-[#6:4]>>Br-[#6:1]:[#6:2]:[#6:3]-[#6:4].O-B(-O)-[#6:5],32
[#6:2]-[#6:1]>>C-C-B(-[#6:1])-C-C.I-[#6:2],31
[#6:4]-[#6:1]:[#16:2]:[#6:3]-[#6:5]>>Br-[#6:1]:[#16:2]:[#6:3]-Br.O-B(-O)-[#6:4].O-B(-O)-[#6:5],30
[#6:3]-[#6:1]:[#6:2]-[#6:4]>>Br-[#6:1]:[#6:2]-Br.O-B(-O)-[#6:3].O-B(-O)-[#6:4],30
[#6:5]-[#6:1]:[#6:2]:[#6:3]:[#6:4]-[#6:6]>>Br-[#6:1]:[#6:2]:[#6:3]:[#6:4]-[#6:5].C-C1(-C)-O-B(-[#6:6])-O-C-1(-C)-C,30
[#6:2]-[#6:1]>>I-[#6:1].[#6:2]-B1-O-C-C-O-1,30
[#6:3]-[#6:1]:[#6:2]-[#6:4]>>Br-[#6:1]:[#6:2]-[#6:3].O-B(-O)-[#6:4],30
[#6:1]-[#6:3]:[#6:2]>>Br-[#6:1].C-C1(-C)-O-B(-[#6:2]:[#6:3])-O-C-1(-C)-C,29
[#6:1]-[#6:2]>>Cl-[#6:1].O-[B-](-O)(-O)-[#6:2],29
[#6:2]-[#6:1]>>Br-[#6:1].C-C1(-C)-C-C(-C)(-C)-O-B(-[#6:2])-O-1,28
[#6:5]-[#6:3]:[#6:2]:[#6:1]-[#6:4]>>Br-[#6:1]:[#6:2]:[#6:3]-[#6:4].C-C1(-C)-O-B(-[#6:5])-O-C-1(-C)-C,28
[#6:2]-[#6:1]>>F-[B-](-F)(-F)-[#6:1].O=C1-O-I(-[#6:2])-c2:c:c:c:c:c:2-1,28
[#6:2]-[#6:1]>>Br-[#6:1].C-C1(-C)-C-B(-[#6:2])-C-C-1(-C)-C,28
[#6:2]-[#6:1]>>C-C12-C-O-[B-](-[#6:1])(-O-C-1)-O-C-2.Cl-[#6:2],27
[#6:1]-[#6:2]>>Cl-[#6:1].[#6:2]-B1-O-C-C-C-O-1,27
[#6:2]-[#6:1]>>C-O-[B-]1(-[#6:1])-[C@@H]2-C-C-C-[C@H]-1-C-C-C-2.I-[#6:2],27
[#6:4]-[#6:1]:[#7:2]:[#6:3]-[#6:5]>>Br-[#6:1]:[#7:2]:[#6:3]-Br.O-B(-O)-[#6:4].O-B(-O)-[#6:5],26
[#6:2]-[#6:1]>>Br-[#6:1].[#6:2]-B1-N-c2:c:c:c:c:c:2-N-1,26
[#6:5]-[#6:1]:[#6:2]:[#6:3]:[#6:4]-[#6:6]>>Br-[#6:1]:[#6:2]:[#6:3]:[#6:4]-[#6:5].O-B(-O)-[#6:6],26
[#5:3]-[#6:2]-[#6:1]-[#5:4]>>Br-[#6:1]-[#6:2].[#5:3]-[#5:4],25
[#6:2]:[#6:3]-[#6:1]>>Cl-[#6:1].O-B(-O)-[#6:2]:[#6:3],25
[#6:2]-[#6:1]>>Br-[#6:1].[#6:2]-B1-O-C-C-N(-c2:c:c:c:c:c:2)-C-C-O-1,25
[#6:1]-[#6:2]>>I-[#6:1].[#6:2]-B1-N-c2:c:c:c:c3:c:c:c:c(:c:2:3)-N-1,24
[#6:1]-[#6:2]>>C-C(-C)-O-B(-[#6:1])-O-C(-C)-C.I-[#6:2],24
[#6:1]-[#6:2]>>Br-[#6:1].C-O-[B-](-[#6:2])(-O-C)-O-C,24
[#6:1]-[#6:3]:[#6:4]-[#6:2]>>C-C1(-C)-O-B(-[#6:1])-O-C-1(-C)-C.C-c1:c:c:c(-S(=O)(=O)-O-[#6:2]):c:c:1.I-[#6:3]:[#6:4],24
[#6:7]-[#6:1]:[#6:2]:[#6:3]:[#6:4]-[#6:5]-[#8:6]>>Br-[#6:1]:[#6:2]:[#6:3]:[#6:4]-[#6:5]=[#8:6].O-B(-O)-[#6:7],23
[#6:2]-[#6:1]>>Cl-[#6:1].[#6:2]-B1-O-C-C-O-1,23
[#6:1]-[#6:2]-[#6:3]>>Br-[#6:1].C-C1(-C)-O-B(-[#6:2]-[#6:3])-O-C-1(-C)-C,23
[#6:7]-[#6:1]:[#6:2]:[#6:3]-[#6:4]:[#6:5]:[#6:6]-[#6:8]>>Br-[#6:1]:[#6:2]:[#6:3]-[#6:4]:[#6:5]:[#6:6]-Br.O-B(-O)-[#6:7].O-B(-O)-[#6:8],22
[#6:2]-[#6:1]>>Br-[#6:1].C-C1-O-B(-[#6:2])-O-C-1-C,22
[#6:4]:[#6:1](-[#6:5]):[#6:3]:[#6:2]>>Br-[#6:1](:[#6:2]):[#6:3]:[#6:4].O-B(-O)-[#6:5],22
[#6:2]-[#6:1]>>C-C-B(-[#6:1])-C-C.Cl-[#6:2],22
[#6:2]-[#6:4](-[#6:1])=[#8:3]>>I-[#6:1].O-B(-[#6:2])-[#8:3].O=C=[Mo](=C=O)(=C=O)(=C=O)(=C=O)=[#6:4]=O,22
[#6:2]-[#6:1]>>Br-[#6:1].O=C1-N-B(-[#6:2])-N-c2:c:c:c:c:c:2-1,22
[#6:1]-[#6:2]>>Br-[#6:1].C-C(-C)(-O)-C(-C)(-C)-O-B(-O)-[#6:2],22
[#6:2]-[#6:1]>>Br-[#6:1].C-C(-C)-C(-C)-B(-[#6:2])-C(-C)-C(-C)-C,21
[#6:3]-[#6:2]-[#6:1]>>Br-[#6:1].F-[B-](-F)(-F)-[#6:2]-[#6:3],21
[#6:1]-[#6:2]>>C-C1-C-O-B(-[#6:1])-O-1.Cl-[#6:2],21
