template,count
[#6:2]=[#6:1]>>O=[#6:1].[#6:2]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,5337
[#6:2]=[#6:1]>>O=[#6:1].[#6:2]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,3472
[#6:1]=[#6:2]>>C-C-O-P(=O)(-[#6:1])-O-C-C.O=[#6:2],244
[#6:1]=[#6:2]>>Br-[#6:1].O=[#6:2],180
[#6:6]=[#6:1]-[#6:2]-[#6:3]-[#6:4]-[#8:5]>>O-[#6:1]1-[#6:2]-[#6:3]-[#6:4]-[#8:5]-1.[#6:6]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,122
[#6:2]=[#6:1]>>Br-[#6:1]-Br.O=[#6:2],75
[#6:2]=[#6:1]>>O-[#6:1].[#6:2]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,67
[#6:6]=[#6:1]/[#6:2]-[#6:3]-[#6:4]-[#8:5]>>O-[#6:1]1-[#6:2]-[#6:3]-[#6:4]-[#8:5]-1.[#6:6]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,65
[#6:2]=[#6:1]>>C-O-P(=O)(-[#6:1])-O-C.O=[#6:2],58
[#6:2]=[#6:1]>>C-C-C-C-[P+](-[#6:1])(-C-C-C-C)-C-C-C-C.O=[#6:2],57
[#6:3]=[#6:1]=[#6:2]>>Cl-[#6:1](=O)-[#6:2].[#6:3]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,53
[#6:1]=[#6:2]>>Cl-[#6:1].O=[#6:2],52
[#6:1]=[#6:2]>>Br-P(-[#6:1])(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1.O=[#6:2],45
[#6:2]=[#6:1]>>C-C-[P+](-[#6:1])(-C-C)-C-C.O=[#6:2],42
[#6:1]=[#7:2]>>O=[#6:1].[#7:2]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,36
[#6:7]=[#6:1]-[#6:2]-[#6:3]-[#6:4]-[#6:5]-[#8:6]>>O-[#6:1]1-[#6:2]-[#6:3]-[#6:4]-[#6:5]-[#8:6]-1.[#6:7]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,36
[#6:2]=[#6:1]>>O=[#6:1].[#6:2]=P(-C1-C-C=C-C=C-1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,34
[#6:2]-[#6:1]>>O-[#6:1].[#6:2]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,30
[#6:7]=[#6:1]-[#6:2]-[#6:3]-[#6:4]-[#6:5]-[#8:6]>>O-[#6:1]1-[#6:2]-[#6:3]-[#6:4]-[#6:5]-[#8:6]-1.[#6:7]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,29
[#6:1]=[#6:4]-[#6:3]-[#7:2]>>O=[#6:1].[#7:2].[#6:3]#[#6:4],28
[#6:3]-[#6:1]=[#6:2]>>O=[#6:1]-[#6:2].[#6:3]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,27
[#6:3]1:[#6:4]:[#6:5]:[#6:1]:[#8:2]:1>>O=[#6:1]-[#8:2]-[#6:3]:[#6:4]-[#6:5]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,26
[#6:5]1:[#6:4]:[#6:3]:[#6:2]:[#6:1]:[#8:6]:1>>C-C-O-[#6:1]-[#6:2]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1.O=[#6:3]-[#6:4]:[#6:5]-[#8:6],26
[#6:2]\[#6:3]=[#6:1]>>O=[#6:1].[#6:2]=[#6:3],25
[#6:2]-[#6:1]=[#8:3]>>C-O-[#6:1]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1.[#6:2]=[#8:3],21
[#6:3]1:[#6:2]:[#6:1]:[#6:5]:[#8:4]:1>>O=[#6:1]-[#6:2]:[#6:3]-[#8:4].[#6:5]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,20
[#6:4]=[#6:2]\[#6:1]-[#8:3]>>Cl-[#6:1]-[#6:2](-O)-[#8:3].[#6:4]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,19
[#6:2]-[#6:1]>>C-O-N(-C)-[#6:1].[#6:2]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,19
[#6:2]=[#6:1]>>O-[#6:1].[#6:2]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,17
[#6:1]#[#6:2]>>Cl-[#6:1](-Cl)-Cl.O=[#6:2],17
[#6:1]=[#6:5]/[#6:3](=[#6:2])-[#8:4]>>O=[#6:1].[#6:2]-[#6:3](=[#8:4])-[#6:5]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,17
[#6:1]=[#6:2]>>O-[#6:1].O=[#6:2],16
[#6:2]=[#6:1]>>O-C-[#6:1]-O.[#6:2]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,16
