template,count
[#8:3]-[C:4](=[O;D1;H0:5])/[CH;D2;+0:6]=[CH;D2;+0:1]/[C:2]>>O=[CH;D2;+0:1]-[C:2].[#8:3]-[C:4](=[O;D1;H0:5])-[CH;D2;+0:6]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,571
[C:2]-[CH;D2;+0:1]=[CH2;D1;+0:3]>>O=[CH;D2;+0:1]-[C:2].[CH3;D1;+0:3]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,455
[CH2;D1;+0:3]=[CH;D2;+0:1]-[c:2]>>O=[CH;D2;+0:1]-[c:2].[CH3;D1;+0:3]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,311
[C:2]-[C;H0;D3;+0:1](-[C:3])=[CH2;D1;+0:4]>>O=[C;H0;D3;+0:1](-[C:2])-[C:3].[CH3;D1;+0:4]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,270
[#8:3]-[C:4](=[O;D1;H0:5])-[CH;D2;+0:6]=[CH;D2;+0:1]-[C:2]>>O=[CH;D2;+0:1]-[C:2].[#8:3]-[C:4](=[O;D1;H0:5])-[CH;D2;+0:6]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,194
[#8:3]-[C:2]-[CH;D2;+0:1]=[CH2;D1;+0:4]>>O=[CH;D2;+0:1]-[C:2]-[#8:3].[CH3;D1;+0:4]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,180
[#8:3]-[C:4](=[O;D1;H0:5])/[CH;D2;+0:6]=[CH;D2;+0:1]/[c:2]>>O=[CH;D2;+0:1]-[c:2].[#8:3]-[C:4](=[O;D1;H0:5])-[CH;D2;+0:6]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,164
[#8:3]-[C:4](=[O;D1;H0:5])/[C;H0;D3;+0:6](-[C;D1;H3:7])=[CH;D2;+0:1]/[C:2]>>O=[CH;D2;+0:1]-[C:2].[#8:3]-[C:4](=[O;D1;H0:5])-[C;H0;D3;+0:6](-[C;D1;H3:7])=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,158
[c:2]-[CH;D2;+0:1]=[CH;D2;+0:4]-[c:3]>>O=[CH;D2;+0:1]-[c:2].[c:3]-[CH2;D2;+0:4]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,151
[C:3]/[CH;D2;+0:4]=[CH;D2;+0:1]\[C:2]>>O=[CH;D2;+0:1]-[C:2].[C:3]-[CH2;D2;+0:4]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,135
[c:3]-[CH;D2;+0:4]=[CH;D2;+0:1]-[c:2]>>O=[CH;D2;+0:1]-[c:2].[c:3]-[CH2;D2;+0:4]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,134
[C:2]-[C;H0;D3;+0:1](=[CH2;D1;+0:4])-[c:3]>>O=[C;H0;D3;+0:1](-[C:2])-[c:3].[CH3;D1;+0:4]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,131
[C:2]/[CH;D2;+0:1]=[CH;D2;+0:5]/[C:4]=[O;D1;H0:3]>>O=[CH;D2;+0:1]-[C:2].[O;D1;H0:3]=[C:4]-[CH;D2;+0:5]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,129
[C:2]/[CH;D2;+0:1]=[CH;D2;+0:4]\[C:3]>>O=[CH;D2;+0:1]-[C:2].[C:3]-[CH2;D2;+0:4]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,125
[C:3]-[CH;D2;+0:4]=[CH;D2;+0:1]-[c:2]>>O=[CH;D2;+0:1]-[c:2].[C:3]-[CH2;D2;+0:4]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,117
[c:2]/[CH;D2;+0:1]=[CH;D2;+0:4]/[c:3]>>O=[CH;D2;+0:1]-[c:2].[c:3]-[CH2;D2;+0:4]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,110
[c:3]/[CH;D2;+0:4]=[CH;D2;+0:1]/[c:2]>>O=[CH;D2;+0:1]-[c:2].[c:3]-[CH2;D2;+0:4]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,99
[C:3]-[CH;D2;+0:4]=[CH;D2;+0:1]-[C:2]>>O=[CH;D2;+0:1]-[C:2].[C:3]-[CH2;D2;+0:4]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,95
[#8:3]-[C:4](=[O;D1;H0:5])-[CH;D2;+0:6]=[CH;D2;+0:1]-[c:2]>>O=[CH;D2;+0:1]-[c:2].[#8:3]-[C:4](=[O;D1;H0:5])-[CH;D2;+0:6]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,89
[#8:3]-[CH;D2;+0:4]=[CH;D2;+0:1]-[C:2]>>O=[CH;D2;+0:1]-[C:2].[#8:3]-[CH2;D2;+0:4]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,78
[C:2]-[C;H0;D3;+0:1](-[C;D1;H3:3])=[CH2;D1;+0:4]>>O=[C;H0;D3;+0:1](-[C:2])-[C;D1;H3:3].[CH3;D1;+0:4]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,78
[C:2]-[CH;D2;+0:1]=[C;H0;D3;+0:4](-[C;D1;H3:3])-[C;D1;H3:5]>>O=[CH;D2;+0:1]-[C:2].[C;D1;H3:3]-[CH;D3;+0:4](-[C;D1;H3:5])-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,70
[#8:3]-[CH;D2;+0:4]=[CH;D2;+0:1]-[c:2]>>O=[CH;D2;+0:1]-[c:2].[#8:3]-[CH2;D2;+0:4]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,64
[C:2]-[CH;D2;+0:1]=[CH;D2;+0:4]-[c:3]>>O=[CH;D2;+0:1]-[C:2].[c:3]-[CH2;D2;+0:4]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,62
[C:2]/[CH;D2;+0:1]=[CH;D2;+0:6]/[C:4](-[C;D1;H3:3])=[O;D1;H0:5]>>O=[CH;D2;+0:1]-[C:2].[C;D1;H3:3]-[C:4](=[O;D1;H0:5])-[CH;D2;+0:6]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,57
[C:2]-[CH;D2;+0:1]=[CH2;D1;+0:5].[C:4]-[OH;D1;+0:3]>>O-[CH;D3;+0:1](-[C:2])-[O;H0;D2;+0:3]-[C:4].[CH3;D1;+0:5]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,57
[C:2]-[CH;D2;+0:1]=[CH2;D1;+0:3]>>O=[CH;D2;+0:1]-[C:2].[CH2;D1;+0:3]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,56
[C:2]-[CH;D2;+0:1]=[CH;D2;+0:4]-[C:3]>>O=[CH;D2;+0:1]-[C:2].[C:3]-[CH2;D2;+0:4]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,54
[C;D1;H3:2]-[C;H0;D3;+0:1](=[CH2;D1;+0:4])-[c:3]>>O=[C;H0;D3;+0:1](-[C;D1;H3:2])-[c:3].[CH3;D1;+0:4]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,47
[#16;a:3]:[c:2]/[CH;D2;+0:1]=[CH;D2;+0:5]/[c:4]>>O=[CH;D2;+0:1]-[c:2]:[#16;a:3].[c:4]-[CH2;D2;+0:5]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,46
[#8:4]-[C:5](=[O;D1;H0:6])/[CH;D2;+0:7]=[CH;D2;+0:1]/[C:2]-[#8:3]>>O=[CH;D2;+0:1]-[C:2]-[#8:3].[#8:4]-[C:5](=[O;D1;H0:6])-[CH;D2;+0:7]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,45
[#7:3]-[C:2]/[CH;D2;+0:1]=[CH;D2;+0:7]/[C:5](-[#8:4])=[O;D1;H0:6]>>O=[CH;D2;+0:1]-[C:2]-[#7:3].[#8:4]-[C:5](=[O;D1;H0:6])-[CH;D2;+0:7]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,45
[CH2;D1;+0:4]=[C;H0;D3;+0:1](-[c:2])-[c:3]>>O=[C;H0;D3;+0:1](-[c:2])-[c:3].[CH3;D1;+0:4]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,43
[O;D1;H0:3]=[C:4]/[CH;D2;+0:5]=[CH;D2;+0:1]/[c:2]>>O=[CH;D2;+0:1]-[c:2].[O;D1;H0:3]=[C:4]-[CH;D2;+0:5]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,43
[C:2]-[C;H0;D3;+0:1](-[C:3])=[CH;D2;+0:5]-[c:4]>>O=[C;H0;D3;+0:1](-[C:2])-[C:3].[c:4]-[CH2;D2;+0:5]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,42
[#8:3]-[C:2]/[CH;D2;+0:1]=[CH;D2;+0:5]\[C:4]>>O=[CH;D2;+0:1]-[C:2]-[#8:3].[C:4]-[CH2;D2;+0:5]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,42
[#8:4]-[C:3]-[C;H0;D3;+0:1](-[C:2])=[CH2;D1;+0:5]>>O=[C;H0;D3;+0:1](-[C:2])-[C:3]-[#8:4].[CH3;D1;+0:5]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,42
[#8:4]-[CH;D2;+0:5]=[C;H0;D3;+0:1](-[C:2])-[C:3]>>O=[C;H0;D3;+0:1](-[C:2])-[C:3].[#8:4]-[CH2;D2;+0:5]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,42
[#7:3]-[C:2]-[CH;D2;+0:1]=[CH;D2;+0:5]-[C:4]>>O=[CH;D2;+0:1]-[C:2]-[#7:3].[C:4]-[CH2;D2;+0:5]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,40
[#8:4]-[C:5](=[O;D1;H0:6])-[CH;D2;+0:7]=[C;H0;D3;+0:1](-[C:2])-[C:3]>>O=[C;H0;D3;+0:1](-[C:2])-[C:3].[#8:4]-[C:5](=[O;D1;H0:6])-[CH;D2;+0:7]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,37
[#8:3]-[C:2]/[CH;D2;+0:1]=[CH;D2;+0:7]/[C:5](-[#8:4])=[O;D1;H0:6]>>O=[CH;D2;+0:1]-[C:2]-[#8:3].[#8:4]-[C:5](=[O;D1;H0:6])-[CH;D2;+0:7]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,36
[#7;a:4]:[c:3]:[c:2]/[CH;D2;+0:1]=[CH;D2;+0:6]\[C:5]>>O=[CH;D2;+0:1]-[c:2]:[c:3]:[#7;a:4].[C:5]-[CH2;D2;+0:6]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,35
[#8:3]-[C:4](=[O;D1;H0:5])-[C;H0;D3;+0:6](-[C;D1;H3:7])=[CH;D2;+0:1]-[C:2]>>O=[CH;D2;+0:1]-[C:2].[#8:3]-[C:4](=[O;D1;H0:5])-[C;H0;D3;+0:6](-[C;D1;H3:7])=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,35
[#8:3]-[C:4](=[O;D1;H0:5])/[CH;D2;+0:6]=[CH;D2;+0:1]/[c:2]>>O=[CH;D2;+0:1]-[c:2].[#8:3]-[C:4](=[O;D1;H0:5])-[CH2;D2;+0:6]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,35
[C:4]-[CH;D2;+0:5]=[C;H0;D3;+0:1](-[c:2])-[c:3]>>O=[C;H0;D3;+0:1](-[c:2])-[c:3].[C:4]-[CH2;D2;+0:5]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,34
[C:2]-[C;H0;D3;+0:1](-[C:3])=[CH2;D1;+0:4]>>O=[C;H0;D3;+0:1](-[C:2])-[C:3].[CH2;D1;+0:4]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,34
[C;D1;H3:3]-[C:4](=[O;D1;H0:5])-[CH;D2;+0:6]=[CH;D2;+0:1]-[c:2]>>O=[CH;D2;+0:1]-[c:2].[C;D1;H3:3]-[C:4](=[O;D1;H0:5])-[CH;D2;+0:6]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,33
[C:2]-[CH;D2;+0:1]=[CH;D2;+0:5]-[C:4]=[O;D1;H0:3]>>O=[CH;D2;+0:1]-[C:2].[O;D1;H0:3]=[C:4]-[CH;D2;+0:5]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,32
[c:4]/[CH;D2;+0:3]=[CH;D2;+0:1]/[c:2]>>C-C-O-P(=O)(-O-C-C)-[CH2;D2;+0:1]-[c:2].O=[CH;D2;+0:3]-[c:4],32
[#8;a:3]:[c:4]/[CH;D2;+0:5]=[CH;D2;+0:1]/[c:2]>>O=[CH;D2;+0:1]-[c:2].[#8;a:3]:[c:4]-[CH2;D2;+0:5]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,31
[C:2]-[C;H0;D3;+0:1](-[C:3])=[CH;D2;+0:5]-[C:4]>>O=[C;H0;D3;+0:1](-[C:2])-[C:3].[C:4]-[CH2;D2;+0:5]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,31
[#7:3]-[C:2]-[CH;D2;+0:1]=[CH2;D1;+0:4]>>O=[CH;D2;+0:1]-[C:2]-[#7:3].[CH3;D1;+0:4]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,29
[CH2;D1;+0:3]=[CH;D2;+0:1]-[c:2]>>O=[CH;D2;+0:1]-[c:2].[CH2;D1;+0:3]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,29
[#8:5]-[C:6](=[O;D1;H0:7])/[CH;D2;+0:8]=[CH;D2;+0:1]/[C:2].[C:4]-[OH;D1;+0:3]>>O-[CH;D3;+0:1](-[C:2])-[O;H0;D2;+0:3]-[C:4].[#8:5]-[C:6](=[O;D1;H0:7])-[CH;D2;+0:8]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,28
[#8:4]-[C:5](=[O;D1;H0:6])-[CH;D2;+0:7]=[CH;D2;+0:1]-[C:2]-[#8:3]>>O=[CH;D2;+0:1]-[C:2]-[#8:3].[#8:4]-[C:5](=[O;D1;H0:6])-[CH;D2;+0:7]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,28
[#8:5]-[C:4](=[O;D1;H0:6])-[C:3]-[C;H0;D3;+0:1](-[C:2])=[CH2;D1;+0:7]>>O=[C;H0;D3;+0:1](-[C:2])-[C:3]-[C:4](-[#8:5])=[O;D1;H0:6].[CH3;D1;+0:7]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,27
[#7;a:4]:[c:3]:[c:2]/[CH;D2;+0:1]=[CH;D2;+0:8]/[C:6](-[#8:5])=[O;D1;H0:7]>>O=[CH;D2;+0:1]-[c:2]:[c:3]:[#7;a:4].[#8:5]-[C:6](=[O;D1;H0:7])-[CH;D2;+0:8]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,27
